,LineNumber,Syllable,Anceps,Lucus,Unnamed: 4,Unnamed: 5
125,398.0,per,long,long,,
126,398.0,-,,space,,
127,398.0,de,short,short,,
128,398.0,cem,long,long,,
129,398.0,-,,space,,
130,398.0,con,UNK,short,,
131,398.0,junx,long,long,,
132,398.0,-,,space,,
133,398.0,mi,short,short,,
134,398.0,hi,UNK,short,,
135,398.0,-,,space,,
136,399.0,an,UNK,short,?,double consonant?
137,399.0,nos,long,long,,
138,399.0,-,,space,,
139,399.0,mo,short,short,,
140,399.0,ra,long,long,,
141,399.0,tur,UNK,short,,
142,399.0,-,,space,,
143,399.0,pe,short,short,,
144,399.0,la,short,short,,
145,399.0,gus,short,short,,
146,399.0,-,,space,,
147,399.0,an,long,long,,
148,399.0,ter,UNK,short,?,double consonant?
149,399.0,ras,long,long,,
150,399.0,-,,space,,
151,399.0,pre,short,short,,
152,399.0,mit,UNK,short,,
153,399.0,-,,space,,
154,400.0,in,UNK,short,,
155,400.0,co,short,short,,
156,400.0,lu,short,short,,
157,400.0,mis,short,short,,
158,400.0,-,,space,,
159,400.0,auc,UNK,long,?,diphthong?
160,400.0,tus,UNK,short,,
161,400.0,-,,space,,
162,400.0,glo,long,long,,
163,400.0,ri,short,short,,
164,400.0,a,long,long,,
165,400.0,-,,space,,
166,400.0,lau,UNK,long,,
167,400.0,de,elision,elision,,
168,400.0,-,,space,,
169,400.0,in,long,long,,
170,400.0,cli,short,short,,
171,400.0,tus,UNK,short,,
172,400.0,-,,space,,
173,401.0,re,short,short,,
174,401.0,du,short,short,,
175,401.0,cem,elision,elision,,
176,401.0,-,,space,,
177,401.0,ex,long,long,,
178,401.0,pe,short,short,,
179,401.0,ti,long,long,,
180,401.0,to,UNK,short,?,part?
181,401.0,-,,space,,
182,401.0,li,long,long,,
183,401.0,to,short,short,,
184,401.0,ri,elision,elision,,
185,401.0,-,,space,,
186,401.0,im,long,long,,
187,401.0,pres,UNK,short,?,double consonant?
188,401.0,sit,long,long,,
189,401.0,-,,space,,
190,401.0,pe,short,short,,
191,401.0,dem,UNK,short,,
192,401.0,-,,space,,
193,402.0,sa,UNK,short,,
194,402.0,cris,long,long,,
195,402.0,-,,space,,
196,402.0,co,short,short,,
197,402.0,la,long,long,,
198,402.0,mus,UNK,short,,
199,402.0,-,,space,,
200,402.0,pros,long,long,,
201,402.0,pe,short,short,,
202,402.0,rum,long,long,,
203,402.0,-,,space,,
204,402.0,tan,UNK,short,,
205,402.0,dem,long,long,,
206,402.0,-,,space,,
207,402.0,di,short,short,,
208,402.0,em,UNK,short,,
209,402.0,-,,space,,
210,403.0,et,UNK,short,,
211,403.0,-,,space,,
212,403.0,si,long,long,,
213,403.0,-,,space,,
214,403.0,pro,short,short,,
215,403.0,pi,short,short,,
216,403.0,ti,short,short,,
217,403.0,os,UNK,long,,
218,403.0,-,,space,,
219,403.0,at,long,long,,
220,403.0,ta,short,short,,
221,403.0,men,long,long,,
222,403.0,-,,space,,
223,403.0,len,UNK,short,,
224,403.0,tos,long,long,,
225,403.0,-,,space,,
226,403.0,de,short,short,,
227,403.0,os,UNK,long,,
228,403.0,-,,space,,
229,404.0,tu,UNK,long,,
230,404.0,-,,space,,
231,404.0,pan,long,long,,
232,404.0,de,short,short,,
233,404.0,-,,space,,
234,404.0,vi,long,long,,
235,404.0,vat,UNK,short,,
236,404.0,-,,space,,
237,404.0,con,long,long,,
238,404.0,ju,short,short,,
239,404.0,gis,long,long,,
240,404.0,-,,space,,
241,404.0,fra,UNK,long,,
242,404.0,ter,long,long,,
243,404.0,-,,space,,
244,404.0,mei,short,short,,
245,404.0,-,,space,,
246,405.0,et,UNK,short,,
247,405.0,-,,space,,
248,405.0,pan,long,long,,
249,405.0,de,short,short,,
250,405.0,-,,space,,
251,405.0,te,short,short,,
252,405.0,ne,short,short,,
253,405.0,at,UNK,short,,
254,405.0,-,,space,,
255,405.0,quas,long,long,,
256,405.0,-,,space,,
257,405.0,so,short,short,,
258,405.0,ror,long,long,,
259,405.0,-,,space,,
260,405.0,se,UNK,long,,
261,405.0,des,long,long,,
262,405.0,-,,space,,
263,405.0,me,short,short,,
264,405.0,a,UNK,short,,
265,405.0,-,,space,,
266,406.0,me,short,short,,
267,406.0,li,short,short,,
268,406.0,o,long,long,,
269,406.0,ra,short,short,,
270,406.0,-,,space,,
271,406.0,vo,long,long,,
272,406.0,tis,UNK,long,,
273,406.0,-,,space,,
274,406.0,pos,long,long,,
275,406.0,co,elision,elision,,
276,406.0,-,,space,,
277,406.0,et,short,short,,
278,406.0,ob,long,long,,
279,406.0,tes,UNK,short,,
280,406.0,tor,long,long,,
281,406.0,-,,space,,
282,406.0,de,short,short,,
283,406.0,os,UNK,long,,
284,406.0,-,,space,,
285,407.0,nam,UNK,short,?,always?
286,407.0,-,,space,,
287,407.0,cer,long,long,,
288,407.0,ta,short,short,,
289,407.0,-,,space,,
290,407.0,fa,long,long,,
291,407.0,ri,UNK,long,,
292,407.0,-,,space,,
293,407.0,sors,long,long,,
294,407.0,-,,space,,
295,407.0,ma,short,short,,
296,407.0,ris,long,long,,
297,407.0,-,,space,,
298,407.0,du,short,short,,
299,407.0,bi,short,short,,
300,407.0,i,long,long,,
301,407.0,ve,short,short,,
302,407.0,tat,UNK,short,,
303,407.0,-,,space,,
304,408.0,ut,UNK,short,?,always?
305,408.0,-,,space,,
306,408.0,spar,long,long,,
307,408.0,sa,short,short,,
308,408.0,-,,space,,
309,408.0,tu,short,short,,
310,408.0,mi,short,short,,
311,408.0,dum,UNK,short,,
312,408.0,-,,space,,
313,408.0,clas,long,long,,
314,408.0,sis,short,short,,
315,408.0,-,,space,,
316,408.0,ex,long,long,,
317,408.0,ce,UNK,long,,
318,408.0,pit,long,long,,
319,408.0,-,,space,,
320,408.0,ma,short,short,,
321,408.0,re,UNK,short,,
322,408.0,-,,space,,
323,409.0,quin,UNK,long,,
324,409.0,-,,space,,
325,409.0,ip,long,long,,
326,409.0,se,elision,elision,,
327,409.0,-,,space,,
328,409.0,a,short,short,,
329,409.0,tri,long,long,,
330,409.0,des,UNK,long,,
331,409.0,-,,space,,
332,409.0,ae,UNK,long,,
333,409.0,quo,short,short,,
334,409.0,re,elision,elision,,
335,409.0,-,,space,,
336,409.0,im,long,long,,
337,409.0,men,UNK,long,,
338,409.0,so,long,long,,
339,409.0,-,,space,,
340,409.0,va,short,short,,
341,409.0,gus,UNK,short,,
342,409.0,-,,space,,
343,410.0,gra,short,short,,
344,410.0,vi,short,short,,
345,410.0,o,long,long,,
346,410.0,ra,short,short,,
347,410.0,-,,space,,
348,410.0,pe,short,short,,
349,410.0,la,short,short,,
350,410.0,go,UNK,long,,
351,410.0,-,,space,,
352,410.0,dam,long,long,,
353,410.0,na,short,short,,
354,410.0,-,,space,,
355,410.0,quam,long,long,,
356,410.0,-,,space,,
357,410.0,bel,UNK,short,,
358,410.0,lo,long,long,,
359,410.0,-,,space,,
360,410.0,tu,short,short,,
361,410.0,lit,UNK,short,,
362,410.0,-,,space,,
363,411.0,re,short,short,,
364,411.0,me,short,short,,
365,411.0,at,long,long,,
366,411.0,que,short,short,,
367,411.0,-,,space,,
368,411.0,vic,long,long,,
369,411.0,to,UNK,long,,
370,411.0,-,,space,,
371,411.0,si,short,short,,
372,411.0,mi,short,short,,
373,411.0,lis,short,short,,
374,411.0,-,,space,,
375,411.0,ex,long,long,,
376,411.0,i,short,short,,
377,411.0,gu,short,short,,
378,411.0,as,long,long,,
379,411.0,-,,space,,
380,411.0,tra,short,short,,
381,411.0,hens,UNK,long,,
382,411.0,-,,space,,
383,412.0,la,short,short,,
384,412.0,ce,short,short,,
385,412.0,ras,long,long,,
386,412.0,que,short,short,,
387,412.0,-,,space,,
388,412.0,vic,long,long,,
389,412.0,tor,UNK,short,,
390,412.0,-,,space,,
391,412.0,clas,long,long,,
392,412.0,se,short,short,,
393,412.0,-,,space,,
394,412.0,de,long,long,,
395,412.0,-,,space,,
396,412.0,tan,UNK,short,,
397,412.0,ta,long,long,,
398,412.0,-,,space,,
399,412.0,ra,short,short,,
400,412.0,tes,UNK,long,,
401,412.0,-,,space,,
402,413.0,quis,UNK,short,?,long in plural?
403,413.0,-,,space,,
404,413.0,fa,long,long,,
405,413.0,re,short,short,,
406,413.0,-,,space,,
407,413.0,nos,long,long,,
408,413.0,tras,UNK,long,,
409,413.0,-,,space,,
410,413.0,hau,UNK,long,,
411,413.0,se,short,short,,
412,413.0,rit,long,long,,
413,413.0,-,,space,,
414,413.0,ca,UNK,long,,
415,413.0,sus,long,long,,
416,413.0,-,,space,,
417,413.0,ra,short,short,,
418,413.0,tes,UNK,long,,
419,413.0,-,,space,,
420,414.0,aut,UNK,long,,
421,414.0,-,,space,,
422,414.0,quae,UNK,long,,
423,414.0,-,,space,,
424,414.0,ma,short,short,,
425,414.0,ris,long,long,,
426,414.0,-,,space,,
427,414.0,for,UNK,short,,
428,414.0,tu,long,long,,
429,414.0,na,short,short,,
430,414.0,-,,space,,
431,414.0,dis,long,long,,
432,414.0,pu,short,short,,
433,414.0,le,short,short,,
434,414.0,rit,long,long,,
435,414.0,-,,space,,
436,414.0,du,short,short,,
437,414.0,ces,UNK,long,,
438,414.0,-,,space,,
439,415.0,a,UNK,short,,
440,415.0,cer,long,long,,
441,415.0,ba,short,short,?,poetic freedom? 
442,415.0,-,,space,,
443,415.0,fa,long,long,,
444,415.0,tu,UNK,long,,
445,415.0,-,,space,,
446,415.0,pos,long,long,,
447,415.0,cis,short,short,,
448,415.0,-,,space,,
449,415.0,in,long,long,,
450,415.0,faus,UNK,long,,
451,415.0,tum,long,long,,
452,415.0,-,,space,,
453,415.0,iu,short,short,,
454,415.0,bes,UNK,long,,
455,415.0,-,,space,,
456,416.0,mens,UNK,long,,
457,416.0,-,,space,,
458,416.0,ae,UNK,long,,
459,416.0,gra,short,short,,
460,416.0,-,,space,,
461,416.0,tan,long,long,,
462,416.0,tis,UNK,long,,
463,416.0,-,,space,,
464,416.0,at,long,long,,
465,416.0,que,elision,elision,,
466,416.0,-,,space,,
467,416.0,in,short,short,,
468,416.0,hor,long,long,,
469,416.0,res,UNK,long,,
470,416.0,cit,long,long,,
471,416.0,-,,space,,
472,416.0,ma,short,short,,
473,416.0,lis,UNK,long,,
474,416.0,-,,space,,
475,417.0,ex,UNK,short,,
476,417.0,pro,long,long,,
477,417.0,me,short,short,,
478,417.0,-,,space,,
479,417.0,cla,long,long,,
480,417.0,des,UNK,long,,
481,417.0,-,,space,,
482,417.0,sci,long,long,,
483,417.0,re,short,short,,
484,417.0,-,,space,,
485,417.0,qui,long,long,,
486,417.0,-,,space,,
487,417.0,re,short,short,,
488,417.0,fu,short,short,,
489,417.0,git,long,long,,
490,417.0,-,,space,,
491,417.0,su,short,short,,
492,417.0,as,UNK,long,,
493,417.0,-,,space,,
494,418.0,gra,UNK,short,,
495,418.0,vat,long,long,,
496,418.0,-,,space,,
497,418.0,ti,short,short,,
498,418.0,mo,long,long,,
499,418.0,rem,UNK,short,,
500,418.0,-,,space,,
501,418.0,du,short,short,,
502,418.0,bi,short,short,,
503,418.0,a,short,short,,
504,418.0,-,,space,,
505,418.0,plus,long,long,,
506,418.0,-,,space,,
507,418.0,tor,UNK,short,,
508,418.0,quent,long,long,,
509,418.0,-,,space,,
510,418.0,ma,short,short,,
511,418.0,la,UNK,short,,
512,418.0,-,,space,,
513,419.0,ut,UNK,short,,
514,419.0,-,,space,,
515,419.0,per,long,long,,
516,419.0,ga,short,short,,
517,419.0,mum,elision,elision,,
518,419.0,-,,space,,
519,419.0,om,long,long,,
520,419.0,ne,UNK,short,,
521,419.0,-,,space,,
522,419.0,do,long,long,,
523,419.0,ri,short,short,,
524,419.0,ca,short,short,,
525,419.0,-,,space,,
526,419.0,ce,short,short,,
527,419.0,ci,UNK,short,,
528,419.0,dit,long,long,,
529,419.0,-,,space,,
530,419.0,fa,short,short,,
531,419.0,ce,UNK,short,,
532,419.0,-,,space,,
533,420.0,di,UNK,long,,
534,420.0,vi,long,long,,
535,420.0,sa,short,short,,
536,420.0,-,,space,,
537,420.0,prae,UNK,long,,
538,420.0,da,elision,elision,,
539,420.0,-,,space,,
540,420.0,est,UNK,short,,
541,420.0,-,,space,,
542,420.0,ma,short,short,,
543,420.0,ri,short,short,,
544,420.0,a,short,short,,
545,420.0,-,,space,,
546,420.0,pro,short,short,,
547,420.0,pe,short,short,,
548,420.0,ran,UNK,short,,
549,420.0,tes,long,long,,
550,420.0,-,,space,,
551,420.0,pe,short,short,,
552,420.0,tunt,UNK,short,,
553,420.0,-,,space,,
554,421.0,ne,UNK,short,,
555,421.0,glec,long,long,,
556,421.0,ta,short,short,,
557,421.0,-,,space,,
558,421.0,sum,long,long,,
559,421.0,mas,UNK,long,,
560,421.0,-,,space,,
561,421.0,scu,long,long,,
562,421.0,ta,short,short,,
563,421.0,-,,space,,
564,421.0,per,long,long,,
565,421.0,-,,space,,
566,421.0,pup,UNK,short,,
567,421.0,pes,long,long,,
568,421.0,-,,space,,
569,421.0,ia,short,short,,
570,421.0,cent,UNK,short,,
571,421.0,-,,space,,
572,422.0,ad,UNK,short,,
573,422.0,-,,space,,
574,422.0,mi,long,long,,
575,422.0,li,short,short,,
576,422.0,ta,long,long,,
577,422.0,res,UNK,long,,
578,422.0,-,,space,,
579,422.0,re,long,long,,
580,422.0,mus,short,short,,
581,422.0,-,,space,,
582,422.0,ap,long,long,,
583,422.0,ta,UNK,long,,
584,422.0,tur,long,long,,
585,422.0,-,,space,,
586,422.0,ma,short,short,,
587,422.0,nus,UNK,short,,
588,422.0,-,,space,,
589,423.0,om,UNK,short,,
590,423.0,nis,long,long,,
591,423.0,que,short,short,,
592,423.0,-,,space,,
593,423.0,ni,short,short,,
594,423.0,mi,short,short,,
595,423.0,um,UNK,short,,
596,423.0,-,,space,,
597,423.0,lon,long,long,,
598,423.0,ga,short,short,,
599,423.0,-,,space,,
600,423.0,pro,short,short,,
601,423.0,pe,short,short,,
602,423.0,ran,UNK,long,,
603,423.0,ti,long,long,,
604,423.0,-,,space,,
605,423.0,mo,short,short,,
606,423.0,ra,elision,elision,,
607,423.0,-,,space,,
608,423.0,est,UNK,short,,
609,423.0,-,,space,,
610,424.0,sig,UNK,short,,
611,424.0,num,long,long,,
612,424.0,-,,space,,
613,424.0,re,short,short,,
614,424.0,cur,long,long,,
615,424.0,sus,UNK,short,,
616,424.0,-,,space,,
617,424.0,re,long,long,,
618,424.0,gi,short,short,,
619,424.0,a,elision,elision,,
620,424.0,-,,space,,
621,424.0,ut,long,long,,
622,424.0,-,,space,,
623,424.0,ful,UNK,short,,
624,424.0,sit,long,long,,
625,424.0,-,,space,,
626,424.0,ra,short,short,,
627,424.0,te,UNK,short,,
628,424.0,-,,space,,
629,425.0,et,UNK,short,,
630,425.0,-,,space,,
631,425.0,cla,long,long,,
632,425.0,ra,short,short,,
633,425.0,-,,space,,
634,425.0,lae,UNK,long,,
635,425.0,tum,UNK,short,,
636,425.0,-,,space,,
637,425.0,re,long,long,,
638,425.0,mi,short,short,,
639,425.0,gem,long,long,,
640,425.0,-,,space,,
641,425.0,mo,short,short,,
642,425.0,nu,short,short,,
643,425.0,it,long,long,,
644,425.0,-,,space,,
645,425.0,tu,short,short,,
646,425.0,ba,UNK,short,,
647,425.0,-,,space,,
648,426.0,au,UNK,long,,
649,426.0,ra,long,long,,
650,426.0,ta,short,short,,
651,426.0,-,,space,,
652,426.0,pri,long,long,,
653,426.0,mas,UNK,long,,
654,426.0,-,,space,,
655,426.0,pro,long,long,,
656,426.0,ra,short,short,,
657,426.0,-,,space,,
658,426.0,de,long,long,,
659,426.0,sig,UNK,short,,
660,426.0,nat,long,long,,
661,426.0,-,,space,,
662,426.0,vi,short,short,,
663,426.0,as,UNK,long,,
664,426.0,-,,space,,
665,427.0,a,short,short,,
666,427.0,pe,short,short,,
667,427.0,rit,long,long,,
668,427.0,que,short,short,,
669,427.0,-,,space,,
670,427.0,cur,long,long,,
671,427.0,sus,UNK,short,?,nom s right?
672,427.0,-,,space,,
673,427.0,mil,long,long,,
674,427.0,le,short,short,,
675,427.0,-,,space,,
676,427.0,quos,long,long,,
677,427.0,-,,space,,
678,427.0,pup,UNK,short,,
679,427.0,pes,long,long,,
680,427.0,-,,space,,
681,427.0,se,short,short,,
682,427.0,cent,UNK,short,,
683,427.0,-,,space,,
684,428.0,hinc,UNK,short,,
685,428.0,-,,space,,
686,428.0,au,UNK,long,,
687,428.0,ra,short,short,,
688,428.0,-,,space,,
689,428.0,pri,long,long,,
690,428.0,mo,UNK,long,,
691,428.0,-,,space,,
692,428.0,le,long,long,,
693,428.0,nis,short,short,,
694,428.0,-,,space,,
695,428.0,im,long,long,,
696,428.0,pel,UNK,short,,
697,428.0,lit,long,long,,
698,428.0,-,,space,,
699,428.0,ra,short,short,,
700,428.0,tes,UNK,long,,
701,428.0,-,,space,,
702,429.0,ad,UNK,short,,
703,429.0,lap,long,long,,
704,429.0,sa,short,short,,
705,429.0,-,,space,,
706,429.0,ve,long,long,,
707,429.0,lis,UNK,long,,
708,429.0,-,,space,,
709,429.0,un,long,long,,
710,429.0,da,short,short,,
711,429.0,-,,space,,
712,429.0,vix,long,long,,
713,429.0,-,,space,,
714,429.0,ac,UNK,long,,
715,429.0,tu,long,long,,
716,429.0,-,,space,,
717,429.0,le,short,short,,
718,429.0,vi,UNK,long,,
719,429.0,-,,space,,
720,430.0,splen,UNK,short,,
721,430.0,det,long,long,,
722,430.0,que,short,short,,
723,430.0,-,,space,,
724,430.0,clas,long,long,,
725,430.0,se,UNK,short,,
726,430.0,-,,space,,
727,430.0,pe,short,short,,
728,430.0,la,short,short,,
729,430.0,gus,short,short,,
730,430.0,-,,space,,
731,430.0,et,long,long,,
732,430.0,-,,space,,
733,430.0,pa,short,short,,
734,430.0,ri,short,short,,
735,430.0,ter,long,long,,
736,430.0,-,,space,,
737,430.0,la,short,short,,
738,430.0,tet,UNK,short,,
739,430.0,-,,space,,
740,431.0,iu,UNK,short,,
741,431.0,vat,long,long,,
742,431.0,-,,space,,
743,431.0,vi,short,short,,
744,431.0,de,long,long,,
745,431.0,re,UNK,short,,
746,431.0,-,,space,,
747,431.0,nu,long,long,,
748,431.0,da,short,short,,
749,431.0,-,,space,,
750,431.0,tro,long,long,,
751,431.0,iae,UNK,long,,
752,431.0,-,,space,,
753,431.0,li,long,long,,
754,431.0,to,short,short,,
755,431.0,ra,UNK,short,,
756,431.0,-,,space,,
757,432.0,iu,UNK,short,,
758,432.0,vat,long,long,,
759,432.0,-,,space,,
760,432.0,re,short,short,,
761,432.0,lic,long,long,,
762,432.0,ti,UNK,long,,
763,432.0,-,,space,,
764,432.0,so,long,long,,
765,432.0,la,short,short,,
766,432.0,-,,space,,
767,432.0,si,long,long,,
768,432.0,gei,UNK,long,,
769,432.0,-,,space,,
770,432.0,lo,short,short,,
771,432.0,ca,UNK,short,,
772,432.0,-,,space,,
773,433.0,pro,short,short,,
774,433.0,pe,short,short,,
775,433.0,rat,long,long,,
776,433.0,-,,space,,
777,433.0,iu,short,short,,
778,433.0,ven,long,long,,
779,433.0,tus,UNK,short,,
780,433.0,-,,space,,
781,433.0,om,long,long,,
782,433.0,nis,short,short,,
783,433.0,-,,space,,
784,433.0,ad,long,long,,
785,433.0,duc,UNK,short,,
786,433.0,tos,long,long,,
787,433.0,-,,space,,
788,433.0,si,short,short,,
789,433.0,mul,UNK,short,,
790,433.0,-,,space,,
791,434.0,len,UNK,short,,
792,434.0,ta,long,long,,
793,434.0,re,short,short,,
794,434.0,-,,space,,
795,434.0,re,long,long,,
796,434.0,mos,UNK,long,,
797,434.0,-,,space,,
798,434.0,ad,long,long,,
799,434.0,iu,short,short,,
800,434.0,vat,long,long,,
801,434.0,-,,space,,
802,434.0,ven,UNK,short,,
803,434.0,tos,long,long,,
804,434.0,-,,space,,
805,434.0,ma,short,short,,
806,434.0,nu,UNK,long,,
807,434.0,-,,space,,
808,435.0,et,UNK,short,,
809,435.0,-,,space,,
810,435.0,va,short,short,,
811,435.0,li,short,short,,
812,435.0,da,short,short,,
813,435.0,-,,space,,
814,435.0,ni,long,long,,
815,435.0,su,UNK,long,,
816,435.0,-,,space,,
817,435.0,brac,long,long,?,syllable?
818,435.0,chi,short,short,,
819,435.0,a,elision,elision,,
820,435.0,-,,space,,
821,435.0,al,long,long,,
822,435.0,ter,UNK,short,,
823,435.0,no,long,long,,
824,435.0,-,,space,,
825,435.0,mo,short,short,,
826,435.0,vet,UNK,short,,
827,435.0,-,,space,,
828,436.0,di,short,short,,
829,436.0,ri,short,short,,
830,436.0,munt,long,long,,
831,436.0,que,short,short,,
832,436.0,-,,space,,
833,436.0,ca,long,long,,
834,436.0,nae,UNK,long,,
835,436.0,-,,space,,
836,436.0,cae,UNK,long,,
837,436.0,ru,short,short,,
838,436.0,lum,long,long,,
839,436.0,-,,space,,
840,436.0,spu,UNK,long,,
841,436.0,mae,UNK,long,,
842,436.0,-,,space,,
843,436.0,ma,short,short,,
844,436.0,re,UNK,short,,
845,436.0,-,,space,,
846,437.0,ut,UNK,short,,
847,437.0,-,,space,,
848,437.0,au,UNK,long,,
849,437.0,ra,short,short,,
850,437.0,-,,space,,
851,437.0,ple,long,long,,
852,437.0,nos,UNK,long,,
853,437.0,-,,space,,
854,437.0,for,long,long,,
855,437.0,ti,short,short,,
856,437.0,or,long,long,,
857,437.0,-,,space,,
858,437.0,ten,UNK,short,,
859,437.0,dit,long,long,,
860,437.0,-,,space,,
861,437.0,si,short,short,,
862,437.0,nus,UNK,short,,
863,437.0,-,,space,,
864,438.0,po,short,short,,
865,438.0,su,short,short,,
866,438.0,e,long,long,,
867,438.0,re,short,short,,
868,438.0,-,,space,,
869,438.0,ton,long,long,,
870,438.0,sas,UNK,long,,
871,438.0,-,,space,,
872,438.0,cre,long,long,,
873,438.0,di,short,short,,
874,438.0,ta,elision,elision,,
875,438.0,-,,space,,
876,438.0,est,long,long,,
877,438.0,-,,space,,
878,438.0,ven,UNK,short,,
879,438.0,to,long,long,,
880,438.0,-,,space,,
881,438.0,ra,short,short,,
882,438.0,tis,UNK,short,?,nom right?
883,438.0,-,,space,,
884,439.0,fu,UNK,long,,
885,439.0,sus,long,long,,
886,439.0,que,short,short,,
887,439.0,-,,space,,
888,439.0,tran,long,long,,
889,439.0,stris,UNK,long,?,syllable?
890,439.0,-,,space,,
891,439.0,mi,long,long,,
892,439.0,les,short,short,,
893,439.0,-,,space,,
894,439.0,aut,UNK,long,?,diphthong?
895,439.0,-,,space,,
896,439.0,ter,UNK,short,,
897,439.0,ras,long,long,,
898,439.0,-,,space,,
899,439.0,pro,short,short,,
900,439.0,cul,UNK,short,,
901,439.0,-,,space,,
902,440.0,quan,UNK,short,,
903,440.0,tum,long,long,,
904,440.0,-,,space,,
905,440.0,re,short,short,,
906,440.0,ce,long,long,,
907,440.0,dunt,UNK,short,,
908,440.0,-,,space,,
909,440.0,ve,long,long,,
910,440.0,la,short,short,,
911,440.0,-,,space,,
912,440.0,fu,short,short,,
913,440.0,gi,short,short,,
914,440.0,en,UNK,short,,
915,440.0,tes,long,long,,
916,440.0,-,,space,,
917,440.0,no,short,short,,
918,440.0,tat,UNK,short,,
919,440.0,-,,space,,
920,441.0,aut,UNK,short,?,
921,441.0,-,,space,,
922,441.0,bel,long,long,,
923,441.0,la,short,short,,
924,441.0,-,,space,,
925,441.0,nar,long,long,,
926,441.0,rat,UNK,short,,
927,441.0,-,,space,,
928,441.0,hec,long,long,,
929,441.0,to,short,short,,
930,441.0,ris,long,long,,
931,441.0,-,,space,,
932,441.0,for,UNK,short,,
933,441.0,tis,long,long,,
934,441.0,-,,space,,
935,441.0,mi,short,short,,
936,441.0,nas,UNK,long,,
937,441.0,-,,space,,
938,442.0,cur,UNK,short,,
939,442.0,rus,long,long,,
940,442.0,que,elision,elision,,
941,442.0,-,,space,,
942,442.0,et,short,short,,
943,442.0,-,,space,,
944,442.0,emp,long,long,?,syllable?
945,442.0,to,UNK,long,,
