LineNumber,Syllable,Anceps,Lucus,,
404,pan,long,long,,
404,de,short,short,,
,,,,,
404,vi,long,long,,
404,vat,UNK,short,,
,,,,,
404,con,long,long,,
404,ju,short,short,,
404,gis,long,long,,
,,,,,
404,fra,UNK,long,,
404,ter,long,long,,
,,,,,
404,mei,short,short,,
,,,,,
405,et,UNK,short,,
,,,,,
405,pan,long,long,,
405,de,short,short,,
,,,,,
405,te,short,short,,
405,ne,short,short,,
405,at,UNK,short,,
,,,,,
405,quas,long,long,,
,,,,,
405,so,short,short,,
405,ror,long,long,,
,,,,,
405,se,UNK,long,,
405,des,long,long,,
,,,,,
405,me,short,short,,
405,a,UNK,short,,
,,,,,
406,me,short,short,,
406,li,short,short,,
406,o,long,long,,
406,ra,short,short,,
,,,,,
406,vo,long,long,,
406,tis,UNK,long,,
,,,,,
406,pos,long,long,,
406,co,elision,elision,,
,,,,,
406,et,short,short,,
406,ob,long,long,,
406,tes,UNK,short,,
406,tor,long,long,,
,,,,,
406,de,short,short,,
406,os,UNK,long,,
,,,,,
407,nam,UNK,short,,
,,,,,
407,cer,long,long,,
407,ta,short,short,,
,,,,,
407,fa,long,long,,
407,ri,UNK,long,,
,,,,,
407,sors,long,long,,
,,,,,
407,ma,short,short,,
407,ris,long,long,,
,,,,,
407,du,short,short,,
407,bi,short,short,,
407,i,long,long,,
407,ve,short,short,,
407,tat,UNK,short,,
,,,,,
408,ut,UNK,short,,
,,,,,
408,spar,long,long,,
408,sa,short,short,,
,,,,,
408,tu,short,short,,
408,mi,short,short,,
408,dum,UNK,short,,
,,,,,
408,clas,long,long,,
408,sis,short,short,,
,,,,,
408,ex,long,long,,
408,ce,UNK,long,,
408,pit,long,long,,
,,,,,
408,ma,short,short,,
408,re,UNK,short,,
,,,,,
409,quin,UNK,long,,
,,,,,
409,ip,long,long,,
409,se,elision,elision,,
,,,,,
409,a,short,short,,
409,tri,long,long,,
409,des,UNK,long,,
,,,,,
409,ae,UNK,long,,
409,quo,short,short,,
409,re,elision,elision,,
,,,,,
409,im,long,long,,
409,men,UNK,long,,
409,so,long,long,,
,,,,,
409,va,short,short,,
409,gus,UNK,short,,
,,,,,
410,gra,short,short,,
410,vi,short,short,,
410,o,long,long,,
410,ra,short,short,,
,,,,,
410,pe,short,short,,
410,la,short,short,,
410,go,UNK,long,,
,,,,,
410,dam,long,long,,
410,na,short,short,,
,,,,,
410,quam,long,long,,
,,,,,
410,bel,UNK,short,,
410,lo,long,long,,
,,,,,
410,tu,short,short,,
410,lit,UNK,short,,
,,,,,
411,re,short,short,,
411,me,short,short,,
411,at,long,long,,
411,que,short,short,,
,,,,,
411,vic,long,long,,
411,to,UNK,long,,
,,,,,
411,si,short,short,,
411,mi,short,short,,
411,lis,short,short,,
,,,,,
411,ex,long,long,,
411,i,short,short,,
411,gu,short,short,,
411,as,long,long,,
,,,,,
411,tra,short,short,,
411,hens,UNK,long,,
,,,,,
412,la,short,short,,
412,ce,short,short,,
412,ras,long,long,,
412,que,short,short,,
,,,,,
412,vic,long,long,,
412,tor,UNK,short,,
,,,,,
412,clas,long,long,,
412,se,short,short,,
,,,,,
412,de,long,long,,
,,,,,
412,tan,UNK,short,,
412,ta,long,long,,
,,,,,
412,ra,short,short,,
412,tes,UNK,long,,
,,,,,
413,quis,UNK,short,?,long in plural?
,,,,,
413,fa,long,long,,
413,re,short,short,,
,,,,,
413,nos,long,long,,
413,tras,UNK,long,,
,,,,,
413,hau,UNK,long,,
413,se,short,short,,
413,rit,long,long,,
,,,,,
413,ca,UNK,long,,
413,sus,long,long,,
,,,,,
413,ra,short,short,,
413,tes,UNK,long,,
,,,,,
414,aut,UNK,long,,
,,,,,
414,quae,UNK,long,,
,,,,,
414,ma,short,short,,
414,ris,long,long,,
,,,,,
414,for,UNK,short,,
414,tu,long,long,,
414,na,short,short,,
,,,,,
414,dis,long,long,,
414,pu,short,short,,
414,le,short,short,,
414,rit,long,long,,
,,,,,
414,du,short,short,,
414,ces,UNK,long,,
,,,,,
415,a,UNK,short,,
415,cer,long,long,,
415,ba,short,short,?,poetic freedom? 
,,,,,
415,fa,long,long,,
415,tu,UNK,long,,
,,,,,
415,pos,long,long,,
415,cis,short,short,,
,,,,,
415,in,long,long,,
415,faus,UNK,long,,
415,tum,long,long,,
,,,,,
415,iu,short,short,,
415,bes,UNK,long,,
,,,,,
416,mens,UNK,long,,
,,,,,
416,ae,UNK,long,,
416,gra,short,short,,
,,,,,
416,tan,long,long,,
416,tis,UNK,long,,
,,,,,
416,at,long,long,,
416,que,elision,elision,,
,,,,,
416,in,short,short,,
416,hor,long,long,,
416,res,UNK,long,,
416,cit,long,long,,
,,,,,
416,ma,short,short,,
416,lis,UNK,long,,
,,,,,
417,ex,UNK,short,,
417,pro,long,long,,
417,me,short,short,,
,,,,,
417,cla,long,long,,
417,des,UNK,long,,
,,,,,
417,sci,long,long,,
417,re,short,short,,
,,,,,
417,qui,long,long,,
,,,,,
417,re,short,short,,
417,fu,short,short,,
417,git,long,long,,
,,,,,
417,su,short,short,,
417,as,UNK,long,,
,,,,,
418,gra,UNK,short,,
418,vat,long,long,,
,,,,,
418,ti,short,short,,
418,mo,long,long,,
418,rem,UNK,short,,
,,,,,
418,du,short,short,,
418,bi,short,short,,
418,a,short,short,,
,,,,,
418,plus,long,long,,
,,,,,
418,tor,UNK,short,,
418,quent,long,long,,
,,,,,
418,ma,short,short,,
418,la,UNK,short,,
,,,,,
419,ut,UNK,short,,
,,,,,
419,per,long,long,,
419,ga,short,short,,
419,mum,elision,elision,,
,,,,,
419,om,long,long,,
419,ne,UNK,short,,
,,,,,
419,do,long,long,,
419,ri,short,short,,
419,ca,short,short,,
,,,,,
419,ce,short,short,,
419,ci,UNK,short,,
419,dit,long,long,,
,,,,,
419,fa,short,short,,
419,ce,UNK,short,,
,,,,,
420,di,UNK,long,,
420,vi,long,long,,
420,sa,short,short,,
,,,,,
420,prae,UNK,long,,
420,da,elision,elision,,
,,,,,
420,est,UNK,short,,
,,,,,
420,ma,short,short,,
420,ri,short,short,,
420,a,short,short,,
,,,,,
420,pro,short,short,,
420,pe,short,short,,
420,ran,UNK,short,,
420,tes,long,long,,
,,,,,
420,pe,short,short,,
420,tunt,UNK,short,,
,,,,,
421,ne,UNK,short,,
421,glec,long,long,,
421,ta,short,short,,
,,,,,
421,sum,long,long,,
421,mas,UNK,long,,
,,,,,
421,scu,long,long,,
421,ta,short,short,,
,,,,,
421,per,long,long,,
,,,,,
421,pup,UNK,short,,
421,pes,long,long,,
,,,,,
421,ia,short,short,,
421,cent,UNK,short,,
,,,,,
422,ad,UNK,short,,
,,,,,
422,mi,long,long,,
422,li,short,short,,
422,ta,long,long,,
422,res,UNK,long,,
,,,,,
422,re,long,long,,
422,mus,short,short,,
,,,,,
422,ap,long,long,,
422,ta,UNK,long,,
422,tur,long,long,,
,,,,,
422,ma,short,short,,
422,nus,UNK,short,,
,,,,,
423,om,UNK,short,,
423,nis,long,long,,
423,que,short,short,,
,,,,,
423,ni,short,short,,
423,mi,short,short,,
423,um,UNK,short,,
,,,,,
423,lon,long,long,,
423,ga,short,short,,
,,,,,
423,pro,short,short,,
423,pe,short,short,,
423,ran,UNK,long,,
423,ti,long,long,,
,,,,,
423,mo,short,short,,
423,ra,elision,elision,,
,,,,,
423,est,UNK,short,,
,,,,,
424,sig,UNK,short,,
424,num,long,long,,
,,,,,
424,re,short,short,,
424,cur,long,long,,
424,sus,UNK,short,,
,,,,,
424,re,long,long,,
424,gi,short,short,,
424,a,elision,elision,,
,,,,,
424,ut,long,long,,
,,,,,
424,ful,UNK,short,,
424,sit,long,long,,
,,,,,
424,ra,short,short,,
424,te,UNK,short,,
,,,,,
425,et,UNK,short,,
,,,,,
425,cla,long,long,,
425,ra,short,short,,
,,,,,
425,lae,UNK,long,,
425,tum,UNK,short,,
,,,,,
425,re,long,long,,
425,mi,short,short,,
425,gem,long,long,,
,,,,,
425,mo,short,short,,
425,nu,short,short,,
425,it,long,long,,
,,,,,
425,tu,short,short,,
425,ba,UNK,short,,
,,,,,
426,au,UNK,long,,
426,ra,long,long,,
426,ta,short,short,,
,,,,,
426,pri,long,long,,
426,mas,UNK,long,,
,,,,,
426,pro,long,long,,
426,ra,short,short,,
,,,,,
426,de,long,long,,
426,sig,UNK,short,,
426,nat,long,long,,
,,,,,
426,vi,short,short,,
426,as,UNK,long,,
,,,,,
427,a,short,short,,
427,pe,short,short,,
427,rit,long,long,,
427,que,short,short,,
,,,,,
427,cur,long,long,,
427,sus,UNK,short,?,nom s right?
,,,,,
427,mil,long,long,,
427,le,short,short,,
,,,,,
427,quos,long,long,,
,,,,,
427,pup,UNK,short,,
427,pes,long,long,,
,,,,,
427,se,short,short,,
427,cent,UNK,short,,
,,,,,
428,hinc,UNK,short,,
,,,,,
428,au,UNK,long,,
428,ra,short,short,,
,,,,,
428,pri,long,long,,
428,mo,UNK,long,,
,,,,,
428,le,long,long,,
428,nis,short,short,,
,,,,,
428,im,long,long,,
428,pel,UNK,short,,
428,lit,long,long,,
,,,,,
428,ra,short,short,,
428,tes,UNK,long,,
,,,,,
429,ad,UNK,short,,
429,lap,long,long,,
429,sa,short,short,,
,,,,,
429,ve,long,long,,
429,lis,UNK,long,,
,,,,,
429,un,long,long,,
429,da,short,short,,
,,,,,
429,vix,long,long,,
,,,,,
429,ac,UNK,long,,
429,tu,long,long,,
,,,,,
429,le,short,short,,
429,vi,UNK,long,,
,,,,,
430,splen,UNK,short,,
430,det,long,long,,
430,que,short,short,,
,,,,,
430,clas,long,long,,
430,se,UNK,short,,
,,,,,
430,pe,short,short,,
430,la,short,short,,
430,gus,short,short,,
,,,,,
430,et,long,long,,
,,,,,
430,pa,short,short,,
430,ri,short,short,,
430,ter,long,long,,
,,,,,
430,la,short,short,,
430,tet,UNK,short,,
,,,,,
431,iu,UNK,short,,
431,vat,long,long,,
,,,,,
431,vi,short,short,,
431,de,long,long,,
431,re,UNK,short,,
,,,,,
431,nu,long,long,,
431,da,short,short,,
,,,,,
431,tro,long,long,,
431,iae,UNK,long,,
,,,,,
431,li,long,long,,
431,to,short,short,,
431,ra,UNK,short,,
,,,,,
432,iu,UNK,short,,
432,vat,long,long,,
,,,,,
432,re,short,short,,
432,lic,long,long,,
432,ti,UNK,long,,
,,,,,
432,so,long,long,,
432,la,short,short,,
,,,,,
432,si,long,long,,
432,gei,UNK,long,,
,,,,,
432,lo,short,short,,
432,ca,UNK,short,,
,,,,,
433,pro,short,short,,
433,pe,short,short,,
433,rat,long,long,,
,,,,,
433,iu,short,short,,
433,ven,long,long,,
433,tus,UNK,short,,
,,,,,
433,om,long,long,,
433,nis,short,short,,
,,,,,
433,ad,long,long,,
433,duc,UNK,short,,
433,tos,long,long,,
,,,,,
433,si,short,short,,
433,mul,UNK,short,,
,,,,,
434,len,UNK,short,,
434,ta,long,long,,
434,re,short,short,,
,,,,,
434,re,long,long,,
434,mos,UNK,long,,
,,,,,
434,ad,long,long,,
434,iu,short,short,,
434,vat,long,long,,
,,,,,
434,ven,UNK,short,,
434,tos,long,long,,
,,,,,
434,ma,short,short,,
434,nu,UNK,long,,
,,,,,
435,et,UNK,short,,
,,,,,
435,va,short,short,,
435,li,short,short,,
435,da,short,short,,
,,,,,
435,ni,long,long,,
435,su,UNK,long,,
,,,,,
435,brac,long,long,?,syllabification?
435,chi,short,short,,
435,a,elision,elision,,
,,,,,
435,al,long,long,,
435,ter,UNK,short,,
435,no,long,long,,
,,,,,
435,mo,short,short,,
435,vet,UNK,short,,
,,,,,
436,di,short,short,,
436,ri,short,short,,
436,munt,long,long,,
436,que,short,short,,
,,,,,
436,ca,long,long,,
436,nae,UNK,long,,
,,,,,
436,cae,UNK,long,,
436,ru,short,short,,
436,lum,long,long,,
,,,,,
436,spu,UNK,long,,
436,mae,UNK,long,,
,,,,,
436,ma,short,short,,
436,re,UNK,short,,
,,,,,
437,ut,UNK,short,,
,,,,,
437,au,UNK,long,,
437,ra,short,short,,
,,,,,
437,ple,long,long,,
437,nos,UNK,long,,
,,,,,
437,for,long,long,,
437,ti,short,short,,
437,or,long,long,,
,,,,,
437,ten,UNK,short,,
437,dit,long,long,,
,,,,,
437,si,short,short,,
437,nus,UNK,short,,
,,,,,
438,po,short,short,,
438,su,short,short,,
438,e,long,long,,
438,re,short,short,,
,,,,,
438,ton,long,long,,
438,sas,UNK,long,,
,,,,,
438,cre,long,long,,
438,di,short,short,,
438,ta,elision,elision,,
,,,,,
438,est,long,long,,
,,,,,
438,ven,UNK,short,,
438,to,long,long,,
,,,,,
438,ra,short,short,,
438,tis,UNK,short,?,nom right?
,,,,,
439,fu,UNK,long,,
439,sus,long,long,,
439,que,short,short,,
,,,,,
439,tran,long,long,,
439,stris,UNK,long,?,syllable?
,,,,,
439,mi,long,long,,
439,les,short,short,,
,,,,,
439,aut,UNK,long,?,diphthong?
,,,,,
439,ter,UNK,short,,
439,ras,long,long,,
,,,,,
439,pro,short,short,,
439,cul,UNK,short,,
,,,,,
440,quan,UNK,short,,
440,tum,long,long,,
,,,,,
440,re,short,short,,
440,ce,long,long,,
440,dunt,UNK,short,,
,,,,,
440,ve,long,long,,
440,la,short,short,,
,,,,,
440,fu,short,short,,
440,gi,short,short,,
440,en,UNK,short,,
440,tes,long,long,,
,,,,,
440,no,short,short,,
440,tat,UNK,short,,
,,,,,
441,aut,UNK,short,?,
,,,,,
441,bel,long,long,,
441,la,short,short,,
,,,,,
441,nar,long,long,,
441,rat,UNK,short,,
,,,,,
441,hec,long,long,,
441,to,short,short,,
441,ris,long,long,,
,,,,,
441,for,UNK,short,,
441,tis,long,long,,
,,,,,
441,mi,short,short,,
441,nas,UNK,long,,
,,,,,
442,cur,UNK,short,,
442,rus,long,long,,
442,que,elision,elision,,
,,,,,
442,et,short,short,,
,,,,,
442,emp,long,long,?,syllable?
442,to,UNK,long,,
,,,,,
442,red,long,long,,
442,di,short,short,,
442,tum,long,long,,
,,,,,
442,cor,UNK,short,,
442,pus,long,long,,
,,,,,
442,ro,short,short,,
442,go,UNK,long,,
,,,,,
443,spar,UNK,short,,
443,sum,long,long,,
,,,,,
443,cru,short,short,,
443,o,long,long,,
443,re,UNK,short,,
,,,,,
443,re,long,long,,
443,gis,short,short,,
,,,,,
443,her,long,long,,
443,ce,UNK,short,?,no wikitionary entry
443,um,long,long,,
,,,,,
443,io,short,short,,
443,vem,UNK,short,,
,,,,,
444,tunc,UNK,short,,
,,,,,
444,qui,long,long,,
,,,,,
444,ia,short,short,,
444,cen,long,long,,
444,te,UNK,short,,
,,,,,
444,re,short,short,,
444,ci,short,short,,
444,pro,short,short,,
444,cus,long,long,,
,,,,,
444,lu,UNK,long,,
444,dit,long,long,,
,,,,,
444,sa,short,short,,
444,lo,UNK,long,,
,,,,,
445,tu,short,short,,
445,mi,short,short,,
445,dum,long,long,,
445,que,short,short,,
,,,,,
445,pan,long,long,,
445,do,UNK,long,,
,,,,,
445,tran,long,long,,
445,si,short,short,,
445,lit,long,long,,
,,,,,
445,dor,UNK,short,,
445,so,long,long,,
,,,,,
445,ma,short,short,,
445,re,UNK,short,,
,,,,,
446,tyr,UNK,UNK,,
446,rhe,long,long,,
446,nus,short,short,,
,,,,,
446,om,long,long,,
446,ni,UNK,short,,
,,,,,
446,pis,long,long,,
446,cis,short,short,,
,,,,,
446,ex,long,long,,
446,ul,UNK,short,,
446,tat,long,long,,
,,,,,
446,fre,short,short,,
446,to,UNK,long,,
,,,,,
447,a,short,short,,
447,gi,short,short,,
447,tat,long,long,,
447,que,short,short,,
,,,,,
447,gy,long,long,,
447,ros,UNK,long,,
,,,,,
447,et,long,long,,
,,,,,
447,co,short,short,,
447,mes,long,long,,
,,,,,
447,la,short,short,,
447,te,short,short,,
447,ri,elision,elision,,
,,,,,
447,ad,long,long,,
447,na,short,short,,
447,tat,UNK,short,,
,,,,,
448,an,UNK,short,,
448,tei,long,long,,
448,re,short,short,,
,,,,,
448,na,long,long,,
448,ves,UNK,long,,
,,,,,
448,lae,UNK,long,,
448,tus,short,short,,
,,,,,
448,et,long,long,,
,,,,,
448,rur,UNK,long,,
448,sus,long,long,,
,,,,,
448,se,short,short,,
448,qui,UNK,long,,
,,,,,
449,nunc,UNK,short,,
,,,,,
449,pri,long,long,,
449,ma,short,short,,
,,,,,
449,tan,long,long,,
449,gens,UNK,long,,
,,,,,
449,ros,long,long,,
449,tra,short,short,,
,,,,,
449,las,long,long,,
449,ci,UNK,long,,
449,vit,long,long,,
,,,,,
449,cho,short,short,,
449,rus,UNK,short,,
,,,,,
450,mil,UNK,long,,
450,le,long,long,,
450,si,short,short,,
450,mam,long,long,,
,,,,,
450,nunc,UNK,short,,
,,,,,
450,am,long,long,,
450,bit,short,short,,
,,,,,
450,et,long,long,,
,,,,,
450,lus,UNK,long,,
450,trat,long,long,,
,,,,,
450,ra,short,short,,
450,tem,UNK,short,,
451,iam,UNK,short,,
,,,,,
451,li,long,long,,
451,tus,short,short,,
,,,,,
451,om,long,long,,
451,ne,UNK,short,,
,,,,,
451,te,short,short,,
451,gi,short,short,,
451,tur,short,short,,
,,,,,
451,et,long,long,,
,,,,,
451,cam,UNK,short,,
451,pi,long,long,,
,,,,,
451,la,short,short,,
451,tent,UNK,short,,
,,,,,
452,et,UNK,short,,
,,,,,
452,du,short,short,,
452,bi,short,short,,
452,a,short,short,,
,,,,,
452,pe,short,short,,
452,re,short,short,,
452,unt,UNK,short,,
,,,,,
452,mon,long,long,,
452,tis,short,short,,
,,,,,
452,i,long,long,,
452,dae,UNK,long,,
452,i,long,long,,
,,,,,
452,iu,short,short,,
452,ga,UNK,short,,
,,,,,
453,et,UNK,short,,
,,,,,
453,vix,long,long,,
,,,,,
453,quod,short,short,,
,,,,,
453,u,long,long,,
453,num,UNK,short,,
,,,,,
453,per,long,long,,
453,vi,short,short,,
453,cax,long,long,,
,,,,,
453,a,short,short,,
453,ci,short,short,,
453,es,long,long,,
,,,,,
453,vi,short,short,,
453,det,UNK,short,,
,,,,,
454,i,UNK,long,,
454,li,short,short,,
454,a,short,short,,
454,cus,short,short,,
,,,,,
454,a,long,long,,
454,tra,UNK,long,?,ablative?
,,,,,
454,fu,long,long,,
454,mus,short,short,,
,,,,,
454,ap,long,long,,
454,pa,UNK,long,,
454,ret,long,long,,
,,,,,
454,no,short,short,,
454,ta,UNK,long,?,ablative?
,,,,,
455,iam,UNK,short,,
,,,,,
455,las,long,long,,
455,sa,short,short,,
,,,,,
455,ti,long,long,,
455,tan,UNK,long,?,Pinkster says long
,,,,,
455,col,long,long,,
455,la,short,short,,
,,,,,
455,re,short,short,,
455,le,short,short,,
455,va,UNK,long,,
455,bat,long,long,,
,,,,,
455,iu,short,short,,
455,go,UNK,long,,
,,,,,
456,in,UNK,short,,
,,,,,
456,as,long,long,,
456,tra,short,short,,
,,,,,
456,iam,long,long,,
,,,,,
456,lux,UNK,long,,
,,,,,
456,pro,long,long,,
456,na,short,short,,
,,,,,
456,iam,long,long,,
,,,,,
456,prae,UNK,long,,
456,ceps,long,long,,
456,di,short,short,,
456,es,UNK,long,,
,,,,,
457,ex,UNK,short,,
457,i,short,short,,
457,gu,short,short,,
457,a,short,short,,
,,,,,
457,nu,long,long,,
457,bes,UNK,long,,
,,,,,
457,sor,long,long,,
457,di,short,short,,
457,do,long,long,,
,,,,,
457,cres,UNK,long,,
457,cens,long,long,,
,,,,,
457,glo,short,short,,
457,bo,UNK,long,,
,,,,,
458,ni,short,short,,
458,ti,short,short,,
458,dum,long,long,,
,,,,,
458,ca,short,short,,
458,den,long,long,,
458,tis,UNK,short,,
,,,,,
458,in,long,long,,
458,qui,short,short,,
458,nat,long,long,,
,,,,,
458,phoe,UNK,long,?,diphthong?
458,bi,long,long,,
,,,,,
458,iu,short,short,,
458,bar,UNK,short,,
,,,,,
459,sus,UNK,short,,
459,pec,long,long,,
459,ta,short,short,,
,,,,,
459,va,short,short,,
459,ri,short,short,,
459,us,UNK,short,,
,,,,,
459,oc,long,long,,
459,ci,short,short,,
459,dens,long,long,,
,,,,,
459,fe,UNK,long,,
459,cit,long,long,,
,,,,,
459,fre,short,short,,
459,ta,UNK,short,,
,,,,,
460,nox,UNK,short,,
,,,,,
460,pri,long,long,,
460,ma,short,short,,
,,,,,
460,cae,UNK,long,,
460,lum,UNK,short,,
,,,,,
460,spar,long,long,,
460,se,short,short,,
460,rat,long,long,,
,,,,,
460,stel,UNK,long,,
460,lis,long,long,,
,,,,,
460,ia,short,short,,
460,cent,UNK,short,,
,,,,,
461,de,UNK,UNK,,
461,ser,long,long,,
461,ta,short,short,,
,,,,,
461,ven,long,long,,
461,to,UNK,long,,
,,,,,
461,ve,long,long,,
461,la,short,short,,
,,,,,
461,tum,long,long,,
,,,,,
461,mur,UNK,short,,
461,mur,long,long,,
,,,,,
461,gra,short,short,,
461,ve,UNK,short,,
,,,,,
462,ma,UNK,long,,
462,io,long,long,,
462,ra,short,short,,
,,,,,
462,mi,short,short,,
462,ni,short,short,,
462,tans,UNK,long,,
,,,,,
462,col,long,long,,
462,li,short,short,,
462,bus,long,long,,
,,,,,
462,sum,UNK,short,,
462,mis,long,long,,
,,,,,
462,ca,short,short,,
462,dit,UNK,short,,
,,,,,
463,trac,UNK,short,,
463,tu,long,long,,
463,que,short,short,,
,,,,,
463,lon,long,long,,
463,go,UNK,long,,
,,,,,
463,li,long,long,,
463,tus,short,short,,
,,,,,
463,ac,long,long,,
,,,,,
463,pe,UNK,short,,
463,trae,UNK,long,,
,,,,,
463,ge,short,short,,
463,munt,UNK,short,,
,,,,,
464,a,short,short,,
464,gi,short,short,,
464,ta,long,long,,
464,ta,short,short,,
,,,,,
464,ven,long,long,,
464,tis,UNK,long,,
,,,,,
464,un,long,long,,
464,da,short,short,,
,,,,,
464,ven,long,long,,
464,tu,UNK,long,,
464,ris,long,long,,
,,,,,
464,tu,short,short,,
464,met,UNK,short,,
,,,,,
465,nec,UNK,short,,
,,,,,
465,u,long,long,,
465,na,short,short,,
,,,,,
465,nox,long,long,,
,,,,,
465,est,UNK,short,,
,,,,,
465,den,long,long,,
465,sa,short,short,,
,,,,,
465,te,short,short,,
465,ne,short,short,,
465,bras,UNK,long,,
,,,,,
465,ob,long,long,,
465,ru,short,short,,
465,it,UNK,short,,
,,,,,
466,ca,UNK,long,,
466,li,long,long,,
466,go,elision,elision,,
,,,,,
466,et,short,short,,
,,,,,
466,om,long,long,,
466,ni,UNK,long,,
,,,,,
466,lu,long,long,,
466,ce,short,short,,
,,,,,
466,sub,long,long,,
466,duc,UNK,short,,
466,ta,long,long,,
,,,,,
466,fre,short,short,,
466,tum,UNK,short,,
,,,,,
467,cae,UNK,long,,
467,lum,long,long,,
467,que,short,short,,
,,,,,
467,mis,long,long,,
467,cet,UNK,short,,
,,,,,
467,un,long,long,,
467,di,short,short,,
467,que,elision,elision,,
,,,,,
467,in,long,long,,
467,cum,UNK,short,,
467,bunt,long,long,,
,,,,,
467,si,short,short,,
467,mul,UNK,short,,
,,,,,
468,ra,short,short,,
468,pi,short,short,,
468,unt,long,long,,
468,que,short,short,,
,,,,,
468,pe,short,short,,
468,la,short,short,,
468,gus,UNK,short,,
,,,,,
468,in,long,long,,
