title,line,syllable,length,anceps,new,comment2,anceps
1,413,sus,long,long,long,,
1,413,-,space,space,space,,
1,413,ra,short,short,short,,
1,413,tes,long,UNK,long,,
1,413,-,space,space,space,,
1,414,aut,long,UNK,long,,
1,414,-,space,space,space,,
1,414,quae,long,UNK,long,,
1,414,-,space,space,space,,
1,414,ma,short,short,short,,
1,414,ris,long,long,long,,
1,414,-,space,space,space,,
1,414,for,short,UNK,long,,
1,414,tu,long,long,long,,
1,414,na,short,short,short,,
1,414,-,space,space,space,,
1,414,dis,long,long,long,,
1,414,pu,short,short,short,,
1,414,le,short,short,short,,
1,414,rit,long,long,long,,
1,414,-,space,space,space,,
1,414,du,short,short,short,,
1,414,ces,long,UNK,long,,
1,414,-,space,space,space,,
1,415,a,short,UNK,short,,
1,415,cer,long,long,long,,
1,415,ba,short,?,short,poetic freedom?,short
1,415,-,space,space,space,,
1,415,fa,long,long,long,,
1,415,tu,long,UNK,long,,
1,415,-,space,space,space,,
1,415,pos,long,long,long,,
1,415,cis,short,short,short,,
1,415,-,space,space,space,,
1,415,in,long,long,long,,
1,415,faus,long,UNK,long,,
1,415,tum,long,long,long,,
1,415,-,space,space,space,,
1,415,iu,short,short,short,,
1,415,bes,long,UNK,long,,
1,415,-,space,space,space,,
1,416,mens,long,UNK,long,,
1,416,-,space,space,space,,
1,416,ae,long,UNK,long,,
1,416,gra,short,short,short,,
1,416,-,space,space,space,,
1,416,tan,long,long,long,,
1,416,tis,long,UNK,long,,
1,416,-,space,space,space,,
1,416,at,long,long,long,,
1,416,que,elision,elision,elision,,
1,416,-,space,space,space,,
1,416,in,short,short,short,,
1,416,hor,long,long,long,,
1,416,res,long,UNK,long,,
1,416,cit,long,long,long,,
1,416,-,space,space,space,,
1,416,ma,short,short,short,,
1,416,lis,long,UNK,long,,
1,416,-,space,space,space,,
1,417,ex,short,UNK,long,,
1,417,pro,long,long,long,,
1,417,me,short,short,short,,
1,417,-,space,space,space,,
1,417,cla,long,long,long,,
1,417,des,long,UNK,long,,
1,417,-,space,space,space,,
1,417,sci,long,long,long,,
1,417,re,short,short,short,,
1,417,-,space,space,space,,
1,417,qui,long,long,long,,
1,417,-,space,space,space,,
1,417,re,short,short,short,,
1,417,fu,short,short,short,,
1,417,git,long,long,long,,
1,417,-,space,space,space,,
1,417,su,short,short,short,,
1,417,as,long,UNK,long,,
1,417,-,space,space,space,,
1,418,gra,short,UNK,short,,
1,418,vat,long,long,long,,
1,418,-,space,space,space,,
1,418,ti,short,short,short,,
1,418,mo,long,long,long,,
1,418,rem,short,UNK,long,,
1,418,-,space,space,space,,
1,418,du,short,short,short,,
1,418,bi,short,short,short,,
1,418,a,short,short,short,,
1,418,-,space,space,space,,
1,418,plus,long,long,long,,
1,418,-,space,space,space,,
1,418,tor,short,UNK,long,,
1,418,quent,long,long,long,,
1,418,-,space,space,space,,
1,418,ma,short,short,short,,
1,418,la,short,UNK,short,,
1,418,-,space,space,space,,
1,419,ut,short,UNK,long,,
1,419,-,space,space,space,,
1,419,per,long,long,long,,
1,419,ga,short,short,short,,
1,419,mum,elision,elision,elision,,
1,419,-,space,space,space,,
1,419,om,long,long,long,,
1,419,ne,short,UNK,short,,
1,419,-,space,space,space,,
1,419,do,long,long,long,,
1,419,ri,short,short,short,,
1,419,ca,short,short,short,,
1,419,-,space,space,space,,
1,419,ce,short,short,short,,
1,419,ci,short,UNK,short,,
1,419,dit,long,long,long,,
1,419,-,space,space,space,,
1,419,fa,short,short,short,,
1,419,ce,short,UNK,short,,
1,419,-,space,space,space,,
1,420,di,long,UNK,long,,
1,420,vi,long,long,long,,
1,420,sa,short,short,short,,
1,420,-,space,space,space,,
1,420,prae,long,UNK,long,,
1,420,da,elision,elision,elision,,
1,420,-,space,space,space,,
1,420,est,short,UNK,long,,
1,420,-,space,space,space,,
1,420,ma,short,short,short,,
1,420,ri,short,short,short,,
1,420,a,short,short,short,,
1,420,-,space,space,space,,
1,420,pro,short,short,short,,
1,420,pe,short,short,short,,
1,420,ran,short,UNK,long,,
1,420,tes,long,long,long,,
1,420,-,space,space,space,,
1,420,pe,short,short,short,,
1,420,tunt,short,UNK,long,,
1,420,-,space,space,space,,
1,421,ne,short,UNK,long,,
1,421,glec,long,long,long,,
1,421,ta,short,short,short,,
1,421,-,space,space,space,,
1,421,sum,long,long,long,,
1,421,mas,long,UNK,long,,
1,421,-,space,space,space,,
1,421,scu,long,long,long,,
1,421,ta,short,short,short,,
1,421,-,space,space,space,,
1,421,per,long,long,long,,
1,421,-,space,space,space,,
1,421,pup,short,UNK,long,,
1,421,pes,long,long,long,,
1,421,-,space,space,space,,
1,421,ia,short,short,short,,
1,421,cent,short,UNK,long,,
1,421,-,space,space,space,,
1,422,ad,short,UNK,short,,
1,422,-,space,space,space,,
1,422,mi,long,long,long,,
1,422,li,short,short,short,,
1,422,ta,long,long,long,,
1,422,res,long,UNK,long,,
1,422,-,space,space,space,,
1,422,re,long,long,long,,
1,422,mus,short,short,short,,
1,422,-,space,space,space,,
1,422,ap,long,long,long,,
1,422,ta,long,UNK,long,,
1,422,tur,long,long,long,,
1,422,-,space,space,space,,
1,422,ma,short,short,short,,
1,422,nus,short,UNK,short,,
1,422,-,space,space,space,,
1,423,om,short,UNK,long,,
1,423,nis,long,long,long,,
1,423,que,short,short,short,,
1,423,-,space,space,space,,
1,423,ni,short,short,short,,
1,423,mi,short,short,short,,
1,423,um,short,UNK,long,,
1,423,-,space,space,space,,
1,423,lon,long,long,long,,
1,423,ga,short,short,short,,
1,423,-,space,space,space,,
1,423,pro,short,short,short,,
1,423,pe,short,short,short,,
1,423,ran,long,UNK,long,,
1,423,ti,long,long,long,,
1,423,-,space,space,space,,
1,423,mo,short,short,short,,
1,423,ra,elision,elision,elision,,
1,423,-,space,space,space,,
1,423,est,short,UNK,long,,
1,423,-,space,space,space,,
1,424,sig,short,UNK,long,,
1,424,num,long,long,long,,
1,424,-,space,space,space,,
1,424,re,short,short,short,,
1,424,cur,long,long,long,,
1,424,sus,short,UNK,long,,
1,424,-,space,space,space,,
1,424,re,long,long,long,,
1,424,gi,short,short,short,,
1,424,a,elision,elision,elision,,
1,424,-,space,space,space,,
1,424,ut,long,long,long,,
1,424,-,space,space,space,,
1,424,ful,short,UNK,long,,
1,424,sit,long,long,long,,
1,424,-,space,space,space,,
1,424,ra,short,short,short,,
1,424,te,short,UNK,short,,
1,424,-,space,space,space,,
1,425,et,short,UNK,short,,
1,425,-,space,space,space,,
1,425,cla,long,long,long,,
1,425,ra,short,short,short,,
1,425,-,space,space,space,,
1,425,lae,long,UNK,long,,
1,425,tum,short,UNK,long,,
1,425,-,space,space,space,,
1,425,re,long,long,long,,
1,425,mi,short,short,short,,
1,425,gem,long,long,long,,
1,425,-,space,space,space,,
1,425,mo,short,short,short,,
1,425,nu,short,short,short,,
1,425,it,long,long,long,,
1,425,-,space,space,space,,
1,425,tu,short,short,short,,
1,425,ba,short,UNK,short,,
1,425,-,space,space,space,,
1,426,au,long,UNK,long,,
1,426,ra,long,long,long,,
1,426,ta,short,short,short,,
1,426,-,space,space,space,,
1,426,pri,long,long,long,,
1,426,mas,long,UNK,long,,
1,426,-,space,space,space,,
1,426,pro,long,long,long,,
1,426,ra,short,short,short,,
1,426,-,space,space,space,,
1,426,de,long,long,long,,
1,426,sig,short,UNK,long,,
1,426,nat,long,long,long,,
1,426,-,space,space,space,,
1,426,vi,short,short,short,,
1,426,as,long,UNK,long,,
1,426,-,space,space,space,,
1,427,a,short,short,short,,
1,427,pe,short,short,short,,
1,427,rit,long,long,long,,
1,427,que,short,short,short,,
1,427,-,space,space,space,,
1,427,cur,long,long,long,,
1,427,sus,short,?,long,nom s right?,UNK
1,427,-,space,space,space,,
1,427,mil,long,long,long,,
1,427,le,short,short,short,,
1,427,-,space,space,space,,
1,427,quos,long,long,long,,
1,427,-,space,space,space,,
1,427,pup,short,UNK,long,,
1,427,pes,long,long,long,,
1,427,-,space,space,space,,
1,427,se,short,short,short,,
1,427,cent,short,UNK,long,,
1,427,-,space,space,space,,
1,428,hinc,short,UNK,long,,
1,428,-,space,space,space,,
1,428,au,long,UNK,long,,
1,428,ra,short,short,short,,
1,428,-,space,space,space,,
1,428,pri,long,long,long,,
1,428,mo,long,UNK,long,,
1,428,-,space,space,space,,
1,428,le,long,long,long,,
1,428,nis,short,short,short,,
1,428,-,space,space,space,,
1,428,im,long,long,long,,
1,428,pel,short,UNK,long,,
1,428,lit,long,long,long,,
1,428,-,space,space,space,,
1,428,ra,short,short,short,,
1,428,tes,long,UNK,long,,
1,428,-,space,space,space,,
1,429,ad,short,UNK,long,,
1,429,lap,long,long,long,,
1,429,sa,short,short,short,,
1,429,-,space,space,space,,
1,429,ve,long,long,long,,
1,429,lis,long,UNK,long,,
1,429,-,space,space,space,,
1,429,un,long,long,long,,
1,429,da,short,short,short,,
1,429,-,space,space,space,,
1,429,vix,long,long,long,,
1,429,-,space,space,space,,
1,429,ac,long,UNK,long,,
1,429,tu,long,long,long,,
1,429,-,space,space,space,,
1,429,le,short,short,short,,
1,429,vi,long,UNK,long,,
1,429,-,space,space,space,,
1,430,splen,short,UNK,long,,
1,430,det,long,long,long,,
1,430,que,short,short,short,,
1,430,-,space,space,space,,
1,430,clas,long,long,long,,
1,430,se,short,UNK,short,,
1,430,-,space,space,space,,
1,430,pe,short,short,short,,
1,430,la,short,short,short,,
1,430,gus,short,short,short,,
1,430,-,space,space,space,,
1,430,et,long,long,long,,
1,430,-,space,space,space,,
1,430,pa,short,short,short,,
1,430,ri,short,short,short,,
1,430,ter,long,long,long,,
1,430,-,space,space,space,,
1,430,la,short,short,short,,
1,430,tet,short,UNK,long,,
1,430,-,space,space,space,,
1,431,iu,short,UNK,short,,
1,431,vat,long,long,long,,
1,431,-,space,space,space,,
1,431,vi,short,short,short,,
1,431,de,long,long,long,,
1,431,re,short,UNK,short,,
1,431,-,space,space,space,,
1,431,nu,long,long,long,,
1,431,da,short,short,short,,
1,431,-,space,space,space,,
1,431,tro,long,long,long,,
1,431,iae,long,UNK,long,,
1,431,-,space,space,space,,
1,431,li,long,long,long,,
1,431,to,short,short,short,,
1,431,ra,short,UNK,short,,
1,431,-,space,space,space,,
1,432,iu,short,UNK,short,,
1,432,vat,long,long,long,,
1,432,-,space,space,space,,
1,432,re,short,short,short,,
1,432,lic,long,long,long,,
1,432,ti,long,UNK,long,,
1,432,-,space,space,space,,
1,432,so,long,long,long,,
1,432,la,short,short,short,,
1,432,-,space,space,space,,
1,432,si,long,long,long,,
1,432,gei,long,UNK,long,,
1,432,-,space,space,space,,
1,432,lo,short,short,short,,
1,432,ca,short,UNK,long,,
1,432,-,space,space,space,,
1,433,pro,short,short,short,,
1,433,pe,short,short,short,,
1,433,rat,long,long,long,,
1,433,-,space,space,space,,
1,433,iu,short,short,short,,
1,433,ven,long,long,long,,
1,433,tus,short,UNK,long,,
1,433,-,space,space,space,,
1,433,om,long,long,long,,
1,433,nis,short,short,short,,
1,433,-,space,space,space,,
1,433,ad,long,long,long,,
1,433,duc,short,UNK,long,,
1,433,tos,long,long,long,,
1,433,-,space,space,space,,
1,433,si,short,short,short,,
1,433,mul,short,UNK,long,,
1,433,-,space,space,space,,
1,434,len,short,UNK,long,,
1,434,ta,long,long,long,,
1,434,re,short,short,short,,
1,434,-,space,space,space,,
1,434,re,long,long,long,,
1,434,mos,long,UNK,long,,
1,434,-,space,space,space,,
1,434,ad,long,long,long,,
1,434,iu,short,short,short,,
1,434,vat,long,long,long,,
1,434,-,space,space,space,,
1,434,ven,short,UNK,long,,
1,434,tos,long,long,long,,
1,434,-,space,space,space,,
1,434,ma,short,short,short,,
1,434,nu,long,UNK,long,,
1,434,-,space,space,space,,
1,435,et,short,UNK,long,,
1,435,-,space,space,space,,
1,435,va,short,short,short,,
1,435,li,short,short,short,,
1,435,da,short,short,short,,
1,435,-,space,space,space,,
1,435,ni,long,long,long,,
1,435,su,long,UNK,long,,
1,435,-,space,space,space,,
1,435,brac,long,?,long,syllable?,long
1,435,chi,short,short,short,,
1,435,a,elision,elision,elision,,
1,435,-,space,space,space,,
1,435,al,long,long,long,,
1,435,ter,short,UNK,long,,
1,435,no,long,long,long,,
1,435,-,space,space,space,,
1,435,mo,short,short,short,,
1,435,vet,short,UNK,long,,
1,435,-,space,space,space,,
1,436,di,short,short,short,,
1,436,ri,short,short,short,,
1,436,munt,long,long,long,,
1,436,que,short,short,short,,
1,436,-,space,space,space,,
1,436,ca,long,long,long,,
1,436,nae,long,UNK,long,,
1,436,-,space,space,space,,
1,436,cae,long,UNK,long,,
1,436,ru,short,short,short,,
1,436,lum,long,long,long,,
1,436,-,space,space,space,,
1,436,spu,long,UNK,long,,
1,436,mae,long,UNK,long,,
1,436,-,space,space,space,,
1,436,ma,short,short,short,,
1,436,re,short,UNK,short,,
1,436,-,space,space,space,,
1,437,ut,short,UNK,short,,
1,437,-,space,space,space,,
1,437,au,long,UNK,long,,
1,437,ra,short,short,short,,
1,437,-,space,space,space,,
1,437,ple,long,long,long,,
1,437,nos,long,UNK,long,,
1,437,-,space,space,space,,
1,437,for,long,long,long,,
1,437,ti,short,short,short,,
1,437,or,long,long,long,,
1,437,-,space,space,space,,
1,437,ten,short,UNK,long,,
1,437,dit,long,long,long,,
1,437,-,space,space,space,,
1,437,si,short,short,short,,
1,437,nus,short,UNK,long,,
1,437,-,space,space,space,,
1,438,po,short,short,short,,
1,438,su,short,short,short,,
1,438,e,long,long,long,,
1,438,re,short,short,short,,
1,438,-,space,space,space,,
1,438,ton,long,long,long,,
1,438,sas,long,UNK,long,,
1,438,-,space,space,space,,
1,438,cre,long,long,long,,
1,438,di,short,short,short,,
1,438,ta,elision,elision,elision,,
1,438,-,space,space,space,,
1,438,est,long,long,long,,
1,438,-,space,space,space,,
1,438,ven,short,UNK,long,,
1,438,to,long,long,long,,
1,438,-,space,space,space,,
1,438,ra,short,short,short,,
1,438,tis,short,?,short,nom right?,UNK
1,438,-,space,space,space,,
1,439,fu,long,UNK,long,,
1,439,sus,long,long,long,,
1,439,que,short,short,short,,
1,439,-,space,space,space,,
1,439,tran,long,long,long,,
1,439,stris,long,?,long,syllable?,UNK
1,439,-,space,space,space,,
1,439,mi,long,long,long,,
1,439,les,short,short,short,,
1,439,-,space,space,space,,
1,439,aut,long,?,long,diphthong?,UNK
1,439,-,space,space,space,,
1,439,ter,short,UNK,long,,
1,439,ras,long,long,long,,
1,439,-,space,space,space,,
1,439,pro,short,short,short,,
1,439,cul,short,UNK,short,,
1,439,-,space,space,space,,
1,440,quan,short,UNK,long,,
1,440,tum,long,long,long,,
1,440,-,space,space,space,,
1,440,re,short,short,short,,
1,440,ce,long,long,long,,
1,440,dunt,short,UNK,long,,
1,440,-,space,space,space,,
1,440,ve,long,long,long,,
1,440,la,short,short,short,,
1,440,-,space,space,space,,
1,440,fu,short,short,short,,
1,440,gi,short,short,short,,
1,440,en,short,UNK,long,,
1,440,tes,long,long,long,,
1,440,-,space,space,space,,
1,440,no,short,short,short,,
1,440,tat,short,UNK,short,,
1,440,-,space,space,space,,
1,441,aut,short,?,long,UNK,
1,441,-,space,space,space,,
1,441,bel,long,long,long,,
1,441,la,short,short,short,,
1,441,-,space,space,space,,
1,441,nar,long,long,long,,
