title,line,syllable,anceps,length,comment1,comment2
1,399,la,short,short,,
1,399,gus,short,short,,
1,399,-,space,,,
1,399,an,long,long,,
1,399,ter,UNK,short,?,double consonant?
1,399,ras,long,long,,
1,399,-,space,,,
1,399,pre,short,short,,
1,399,mit,UNK,short,,
1,399,-,space,,,
1,400,in,UNK,short,,
1,400,co,short,short,,
1,400,lu,short,short,,
1,400,mis,short,short,,
1,400,-,space,,,
1,400,auc,UNK,long,?,diphthong?
1,400,tus,UNK,short,,
1,400,-,space,,,
1,400,glo,long,long,,
1,400,ri,short,short,,
1,400,a,long,long,,
1,400,-,space,,,
1,400,lau,UNK,long,,
1,400,de,elision,elision,,
1,400,-,space,,,
1,400,in,long,long,,
1,400,cli,short,short,,
1,400,tus,UNK,short,,
1,400,-,space,,,
1,401,re,short,short,,
1,401,du,short,short,,
1,401,cem,elision,elision,,
1,401,-,space,,,
1,401,ex,long,long,,
1,401,pe,short,short,,
1,401,ti,long,long,,
1,401,to,UNK,short,?,part?
1,401,-,space,,,
1,401,li,long,long,,
1,401,to,short,short,,
1,401,ri,elision,elision,,
1,401,-,space,,,
1,401,im,long,long,,
1,401,pres,UNK,short,?,double consonant?
1,401,sit,long,long,,
1,401,-,space,,,
1,401,pe,short,short,,
1,401,dem,UNK,short,,
1,401,-,space,,,
1,402,sa,UNK,short,,
1,402,cris,long,long,,
1,402,-,space,,,
1,402,co,short,short,,
1,402,la,long,long,,
1,402,mus,UNK,short,,
1,402,-,space,,,
1,402,pros,long,long,,
1,402,pe,short,short,,
1,402,rum,long,long,,
1,402,-,space,,,
1,402,tan,UNK,short,,
1,402,dem,long,long,,
1,402,-,space,,,
1,402,di,short,short,,
1,402,em,UNK,short,,
1,402,-,space,,,
1,403,et,UNK,short,,
1,403,-,space,,,
1,403,si,long,long,,
1,403,-,space,,,
1,403,pro,short,short,,
1,403,pi,short,short,,
1,403,ti,short,short,,
1,403,os,UNK,long,,
1,403,-,space,,,
1,403,at,long,long,,
1,403,ta,short,short,,
1,403,men,long,long,,
1,403,-,space,,,
1,403,len,UNK,short,,
1,403,tos,long,long,,
1,403,-,space,,,
1,403,de,short,short,,
1,403,os,UNK,long,,
1,403,-,space,,,
1,404,tu,UNK,long,,
1,404,-,space,,,
1,404,pan,long,long,,
1,404,de,short,short,,
1,404,-,space,,,
1,404,vi,long,long,,
1,404,vat,UNK,short,,
1,404,-,space,,,
1,404,con,long,long,,
1,404,ju,short,short,,
1,404,gis,long,long,,
1,404,-,space,,,
1,404,fra,UNK,long,,
1,404,ter,long,long,,
1,404,-,space,,,
1,404,mei,short,short,,
1,404,-,space,,,
1,405,et,UNK,short,,
1,405,-,space,,,
1,405,pan,long,long,,
1,405,de,short,short,,
1,405,-,space,,,
1,405,te,short,short,,
1,405,ne,short,short,,
1,405,at,UNK,short,,
1,405,-,space,,,
1,405,quas,long,long,,
1,405,-,space,,,
1,405,so,short,short,,
1,405,ror,long,long,,
1,405,-,space,,,
1,405,se,UNK,long,,
1,405,des,long,long,,
1,405,-,space,,,
1,405,me,short,short,,
1,405,a,UNK,short,,
1,405,-,space,,,
1,406,me,short,short,,
1,406,li,short,short,,
1,406,o,long,long,,
1,406,ra,short,short,,
1,406,-,space,,,
1,406,vo,long,long,,
1,406,tis,UNK,long,,
1,406,-,space,,,
1,406,pos,long,long,,
1,406,co,elision,elision,,
1,406,-,space,,,
1,406,et,short,short,,
1,406,ob,long,long,,
1,406,tes,UNK,short,,
1,406,tor,long,long,,
1,406,-,space,,,
1,406,de,short,short,,
1,406,os,UNK,long,,
1,406,-,space,,,
1,407,nam,UNK,short,?,always?
1,407,-,space,,,
1,407,cer,long,long,,
1,407,ta,short,short,,
1,407,-,space,,,
1,407,fa,long,long,,
1,407,ri,UNK,long,,
1,407,-,space,,,
1,407,sors,long,long,,
1,407,-,space,,,
1,407,ma,short,short,,
1,407,ris,long,long,,
1,407,-,space,,,
1,407,du,short,short,,
1,407,bi,short,short,,
1,407,i,long,long,,
1,407,ve,short,short,,
1,407,tat,UNK,short,,
1,407,-,space,,,
1,408,ut,UNK,short,?,always?
1,408,-,space,,,
1,408,spar,long,long,,
1,408,sa,short,short,,
1,408,-,space,,,
1,408,tu,short,short,,
1,408,mi,short,short,,
1,408,dum,UNK,short,,
1,408,-,space,,,
1,408,clas,long,long,,
1,408,sis,short,short,,
1,408,-,space,,,
1,408,ex,long,long,,
1,408,ce,UNK,long,,
1,408,pit,long,long,,
1,408,-,space,,,
1,408,ma,short,short,,
1,408,re,UNK,short,,
1,408,-,space,,,
1,409,quin,UNK,long,,
1,409,-,space,,,
1,409,ip,long,long,,
1,409,se,elision,elision,,
1,409,-,space,,,
1,409,a,short,short,,
1,409,tri,long,long,,
1,409,des,UNK,long,,
1,409,-,space,,,
1,409,ae,UNK,long,,
1,409,quo,short,short,,
1,409,re,elision,elision,,
1,409,-,space,,,
1,409,im,long,long,,
1,409,men,UNK,long,,
1,409,so,long,long,,
1,409,-,space,,,
1,409,va,short,short,,
1,409,gus,UNK,short,,
1,409,-,space,,,
1,410,gra,short,short,,
1,410,vi,short,short,,
1,410,o,long,long,,
1,410,ra,short,short,,
1,410,-,space,,,
1,410,pe,short,short,,
1,410,la,short,short,,
1,410,go,UNK,long,,
1,410,-,space,,,
1,410,dam,long,long,,
1,410,na,short,short,,
1,410,-,space,,,
1,410,quam,long,long,,
1,410,-,space,,,
1,410,bel,UNK,short,,
1,410,lo,long,long,,
1,410,-,space,,,
1,410,tu,short,short,,
1,410,lit,UNK,short,,
1,410,-,space,,,
1,411,re,short,short,,
1,411,me,short,short,,
1,411,at,long,long,,
1,411,que,short,short,,
1,411,-,space,,,
1,411,vic,long,long,,
1,411,to,UNK,long,,
1,411,-,space,,,
1,411,si,short,short,,
1,411,mi,short,short,,
1,411,lis,short,short,,
1,411,-,space,,,
1,411,ex,long,long,,
1,411,i,short,short,,
1,411,gu,short,short,,
1,411,as,long,long,,
1,411,-,space,,,
1,411,tra,short,short,,
1,411,hens,UNK,long,,
1,411,-,space,,,
1,412,la,short,short,,
1,412,ce,short,short,,
1,412,ras,long,long,,
1,412,que,short,short,,
1,412,-,space,,,
1,412,vic,long,long,,
1,412,tor,UNK,short,,
1,412,-,space,,,
1,412,clas,long,long,,
1,412,se,short,short,,
1,412,-,space,,,
1,412,de,long,long,,
1,412,-,space,,,
1,412,tan,UNK,short,,
1,412,ta,long,long,,
1,412,-,space,,,
1,412,ra,short,short,,
1,412,tes,UNK,long,,
1,412,-,space,,,
1,413,quis,UNK,short,?,long in plural?
1,413,-,space,,,
1,413,fa,long,long,,
1,413,re,short,short,,
1,413,-,space,,,
1,413,nos,long,long,,
1,413,tras,UNK,long,,
1,413,-,space,,,
1,413,hau,UNK,long,,
1,413,se,short,short,,
1,413,rit,long,long,,
1,413,-,space,,,
1,413,ca,UNK,long,,
1,413,sus,long,long,,
1,413,-,space,,,
1,413,ra,short,short,,
1,413,tes,UNK,long,,
1,413,-,space,,,
1,414,aut,UNK,long,,
1,414,-,space,,,
1,414,quae,UNK,long,,
1,414,-,space,,,
1,414,ma,short,short,,
1,414,ris,long,long,,
1,414,-,space,,,
1,414,for,UNK,short,,
1,414,tu,long,long,,
1,414,na,short,short,,
1,414,-,space,,,
1,414,dis,long,long,,
1,414,pu,short,short,,
1,414,le,short,short,,
1,414,rit,long,long,,
1,414,-,space,,,
1,414,du,short,short,,
1,414,ces,UNK,long,,
1,414,-,space,,,
1,415,a,UNK,short,,
1,415,cer,long,long,,
1,415,ba,short,short,?,poetic freedom?
1,415,-,space,,,
1,415,fa,long,long,,
1,415,tu,UNK,long,,
1,415,-,space,,,
1,415,pos,long,long,,
1,415,cis,short,short,,
1,415,-,space,,,
1,415,in,long,long,,
1,415,faus,UNK,long,,
1,415,tum,long,long,,
1,415,-,space,,,
1,415,iu,short,short,,
1,415,bes,UNK,long,,
1,415,-,space,,,
1,416,mens,UNK,long,,
1,416,-,space,,,
1,416,ae,UNK,long,,
1,416,gra,short,short,,
1,416,-,space,,,
1,416,tan,long,long,,
1,416,tis,UNK,long,,
1,416,-,space,,,
1,416,at,long,long,,
1,416,que,elision,elision,,
1,416,-,space,,,
1,416,in,short,short,,
1,416,hor,long,long,,
1,416,res,UNK,long,,
1,416,cit,long,long,,
1,416,-,space,,,
1,416,ma,short,short,,
1,416,lis,UNK,long,,
1,416,-,space,,,
1,417,ex,UNK,short,,
1,417,pro,long,long,,
1,417,me,short,short,,
1,417,-,space,,,
1,417,cla,long,long,,
1,417,des,UNK,long,,
1,417,-,space,,,
1,417,sci,long,long,,
1,417,re,short,short,,
1,417,-,space,,,
1,417,qui,long,long,,
1,417,-,space,,,
1,417,re,short,short,,
1,417,fu,short,short,,
1,417,git,long,long,,
1,417,-,space,,,
1,417,su,short,short,,
1,417,as,UNK,long,,
1,417,-,space,,,
1,418,gra,UNK,short,,
1,418,vat,long,long,,
1,418,-,space,,,
1,418,ti,short,short,,
1,418,mo,long,long,,
1,418,rem,UNK,short,,
1,418,-,space,,,
1,418,du,short,short,,
1,418,bi,short,short,,
1,418,a,short,short,,
1,418,-,space,,,
1,418,plus,long,long,,
1,418,-,space,,,
1,418,tor,UNK,short,,
1,418,quent,long,long,,
1,418,-,space,,,
1,418,ma,short,short,,
1,418,la,UNK,short,,
1,418,-,space,,,
1,419,ut,UNK,short,,
1,419,-,space,,,
1,419,per,long,long,,
1,419,ga,short,short,,
1,419,mum,elision,elision,,
1,419,-,space,,,
1,419,om,long,long,,
1,419,ne,UNK,short,,
1,419,-,space,,,
1,419,do,long,long,,
1,419,ri,short,short,,
1,419,ca,short,short,,
1,419,-,space,,,
1,419,ce,short,short,,
1,419,ci,UNK,short,,
1,419,dit,long,long,,
1,419,-,space,,,
1,419,fa,short,short,,
1,419,ce,UNK,short,,
1,419,-,space,,,
1,420,di,UNK,long,,
1,420,vi,long,long,,
1,420,sa,short,short,,
1,420,-,space,,,
1,420,prae,UNK,long,,
1,420,da,elision,elision,,
1,420,-,space,,,
1,420,est,UNK,short,,
1,420,-,space,,,
1,420,ma,short,short,,
1,420,ri,short,short,,
1,420,a,short,short,,
1,420,-,space,,,
1,420,pro,short,short,,
1,420,pe,short,short,,
1,420,ran,UNK,short,,
1,420,tes,long,long,,
1,420,-,space,,,
1,420,pe,short,short,,
1,420,tunt,UNK,short,,
1,420,-,space,,,
1,421,ne,UNK,short,,
1,421,glec,long,long,,
1,421,ta,short,short,,
1,421,-,space,,,
1,421,sum,long,long,,
1,421,mas,UNK,long,,
1,421,-,space,,,
1,421,scu,long,long,,
1,421,ta,short,short,,
1,421,-,space,,,
1,421,per,long,long,,
1,421,-,space,,,
1,421,pup,UNK,short,,
1,421,pes,long,long,,
1,421,-,space,,,
1,421,ia,short,short,,
1,421,cent,UNK,short,,
1,421,-,space,,,
1,422,ad,UNK,short,,
1,422,-,space,,,
1,422,mi,long,long,,
1,422,li,short,short,,
1,422,ta,long,long,,
1,422,res,UNK,long,,
1,422,-,space,,,
1,422,re,long,long,,
1,422,mus,short,short,,
1,422,-,space,,,
1,422,ap,long,long,,
1,422,ta,UNK,long,,
1,422,tur,long,long,,
1,422,-,space,,,
1,422,ma,short,short,,
1,422,nus,UNK,short,,
1,422,-,space,,,
1,423,om,UNK,short,,
1,423,nis,long,long,,
1,423,que,short,short,,
1,423,-,space,,,
1,423,ni,short,short,,
1,423,mi,short,short,,
1,423,um,UNK,short,,
1,423,-,space,,,
1,423,lon,long,long,,
1,423,ga,short,short,,
1,423,-,space,,,
1,423,pro,short,short,,
1,423,pe,short,short,,
1,423,ran,UNK,long,,
1,423,ti,long,long,,
1,423,-,space,,,
1,423,mo,short,short,,
1,423,ra,elision,elision,,
1,423,-,space,,,
1,423,est,UNK,short,,
1,423,-,space,,,
1,424,sig,UNK,short,,
1,424,num,long,long,,
1,424,-,space,,,
1,424,re,short,short,,
1,424,cur,long,long,,
1,424,sus,UNK,short,,
1,424,-,space,,,
1,424,re,long,long,,
1,424,gi,short,short,,
1,424,a,elision,elision,,
1,424,-,space,,,
1,424,ut,long,long,,
1,424,-,space,,,
1,424,ful,UNK,short,,
1,424,sit,long,long,,
1,424,-,space,,,
1,424,ra,short,short,,
1,424,te,UNK,short,,
1,424,-,space,,,
1,425,et,UNK,short,,
1,425,-,space,,,
1,425,cla,long,long,,
1,425,ra,short,short,,
1,425,-,space,,,
1,425,lae,UNK,long,,
1,425,tum,UNK,short,,
1,425,-,space,,,
1,425,re,long,long,,
1,425,mi,short,short,,
1,425,gem,long,long,,
1,425,-,space,,,
1,425,mo,short,short,,
1,425,nu,short,short,,
1,425,it,long,long,,
1,425,-,space,,,
1,425,tu,short,short,,
1,425,ba,UNK,short,,
1,425,-,space,,,
1,426,au,UNK,long,,
1,426,ra,long,long,,
1,426,ta,short,short,,
1,426,-,space,,,
1,426,pri,long,long,,
1,426,mas,UNK,long,,
1,426,-,space,,,
1,426,pro,long,long,,
1,426,ra,short,short,,
1,426,-,space,,,
1,426,de,long,long,,
1,426,sig,UNK,short,,
1,426,nat,long,long,,
1,426,-,space,,,
1,426,vi,short,short,,
1,426,as,UNK,long,,
1,426,-,space,,,
1,427,a,short,short,,
1,427,pe,short,short,,
1,427,rit,long,long,,
1,427,que,short,short,,
1,427,-,space,,,
1,427,cur,long,long,,
1,427,sus,UNK,short,?,nom s right?
1,427,-,space,,,
1,427,mil,long,long,,
1,427,le,short,short,,
1,427,-,space,,,
1,427,quos,long,long,,
1,427,-,space,,,
1,427,pup,UNK,short,,
1,427,pes,long,long,,
1,427,-,space,,,
1,427,se,short,short,,
1,427,cent,UNK,short,,
1,427,-,space,,,
1,428,hinc,UNK,short,,
1,428,-,space,,,
1,428,au,UNK,long,,
1,428,ra,short,short,,
1,428,-,space,,,
1,428,pri,long,long,,
1,428,mo,UNK,long,,
1,428,-,space,,,
1,428,le,long,long,,
1,428,nis,short,short,,
1,428,-,space,,,
1,428,im,long,long,,
1,428,pel,UNK,short,,
1,428,lit,long,long,,
1,428,-,space,,,
1,428,ra,short,short,,
1,428,tes,UNK,long,,
1,428,-,space,,,
1,429,ad,UNK,short,,
1,429,lap,long,long,,
1,429,sa,short,short,,
1,429,-,space,,,
1,429,ve,long,long,,
1,429,lis,UNK,long,,
1,429,-,space,,,
1,429,un,long,long,,
1,429,da,short,short,,
1,429,-,space,,,
1,429,vix,long,long,,
1,429,-,space,,,
1,429,ac,UNK,long,,
1,429,tu,long,long,,
1,429,-,space,,,
1,429,le,short,short,,
1,429,vi,UNK,long,,
1,429,-,space,,,
1,430,splen,UNK,short,,
1,430,det,long,long,,
1,430,que,short,short,,
1,430,-,space,,,
1,430,clas,long,long,,
1,430,se,UNK,short,,
1,430,-,space,,,
1,430,pe,short,short,,
1,430,la,short,short,,
1,430,gus,short,short,,
1,430,-,space,,,
1,430,et,long,long,,
1,430,-,space,,,
1,430,pa,short,short,,
1,430,ri,short,short,,
1,430,ter,long,long,,
1,430,-,space,,,
1,430,la,short,short,,
1,430,tet,UNK,short,,
1,430,-,space,,,
1,431,iu,UNK,short,,
1,431,vat,long,long,,
1,431,-,space,,,
1,431,vi,short,short,,
1,431,de,long,long,,
1,431,re,UNK,short,,
1,431,-,space,,,
1,431,nu,long,long,,
1,431,da,short,short,,
1,431,-,space,,,
1,431,tro,long,long,,
1,431,iae,UNK,long,,
1,431,-,space,,,
1,431,li,long,long,,
1,431,to,short,short,,
1,431,ra,UNK,short,,
1,431,-,space,,,
1,432,iu,UNK,short,,
1,432,vat,long,long,,
1,432,-,space,,,
1,432,re,short,short,,
1,432,lic,long,long,,
1,432,ti,UNK,long,,
1,432,-,space,,,
1,432,so,long,long,,
1,432,la,short,short,,
1,432,-,space,,,
1,432,si,long,long,,
1,432,gei,UNK,long,,
1,432,-,space,,,
1,432,lo,short,short,,
1,432,ca,UNK,short,,
1,432,-,space,,,
1,433,pro,short,short,,
1,433,pe,short,short,,
1,433,rat,long,long,,
1,433,-,space,,,
1,433,iu,short,short,,
1,433,ven,long,long,,
1,433,tus,UNK,short,,
1,433,-,space,,,
1,433,om,long,long,,
1,433,nis,short,short,,
1,433,-,space,,,
1,433,ad,long,long,,
1,433,duc,UNK,short,,
1,433,tos,long,long,,
1,433,-,space,,,
1,433,si,short,short,,
1,433,mul,UNK,short,,
1,433,-,space,,,
1,434,len,UNK,short,,
1,434,ta,long,long,,
1,434,re,short,short,,
1,434,-,space,,,
1,434,re,long,long,,
1,434,mos,UNK,long,,
1,434,-,space,,,
1,434,ad,long,long,,
1,434,iu,short,short,,
1,434,vat,long,long,,
1,434,-,space,,,
1,434,ven,UNK,short,,
1,434,tos,long,long,,
1,434,-,space,,,
1,434,ma,short,short,,
1,434,nu,UNK,long,,
1,434,-,space,,,
1,435,et,UNK,short,,
1,435,-,space,,,
1,435,va,short,short,,
1,435,li,short,short,,
1,435,da,short,short,,
1,435,-,space,,,
1,435,ni,long,long,,
1,435,su,UNK,long,,
1,435,-,space,,,
1,435,brac,long,long,?,syllable?
1,435,chi,short,short,,
1,435,a,elision,elision,,
1,435,-,space,,,
1,435,al,long,long,,
1,435,ter,UNK,short,,
1,435,no,long,long,,
1,435,-,space,,,
1,435,mo,short,short,,
1,435,vet,UNK,short,,
1,435,-,space,,,
1,436,di,short,short,,
1,436,ri,short,short,,
1,436,munt,long,long,,
1,436,que,short,short,,
1,436,-,space,,,
1,436,ca,long,long,,
1,436,nae,UNK,long,,
1,436,-,space,,,
1,436,cae,UNK,long,,
1,436,ru,short,short,,
1,436,lum,long,long,,
1,436,-,space,,,
1,436,spu,UNK,long,,
1,436,mae,UNK,long,,
1,436,-,space,,,
1,436,ma,short,short,,
1,436,re,UNK,short,,
1,436,-,space,,,
1,437,ut,UNK,short,,
1,437,-,space,,,
1,437,au,UNK,long,,
1,437,ra,short,short,,
1,437,-,space,,,
1,437,ple,long,long,,
1,437,nos,UNK,long,,
1,437,-,space,,,
1,437,for,long,long,,
1,437,ti,short,short,,
1,437,or,long,long,,
1,437,-,space,,,
1,437,ten,UNK,short,,
1,437,dit,long,long,,
1,437,-,space,,,
1,437,si,short,short,,
1,437,nus,UNK,short,,
1,437,-,space,,,
1,438,po,short,short,,
1,438,su,short,short,,
1,438,e,long,long,,
1,438,re,short,short,,
1,438,-,space,,,
1,438,ton,long,long,,
1,438,sas,UNK,long,,
1,438,-,space,,,
1,438,cre,long,long,,
1,438,di,short,short,,
1,438,ta,elision,elision,,
1,438,-,space,,,
1,438,est,long,long,,
1,438,-,space,,,
1,438,ven,UNK,short,,
1,438,to,long,long,,
1,438,-,space,,,
1,438,ra,short,short,,
1,438,tis,UNK,short,?,nom right?
1,438,-,space,,,
1,439,fu,UNK,long,,
1,439,sus,long,long,,
1,439,que,short,short,,
1,439,-,space,,,
1,439,tran,long,long,,
1,439,stris,UNK,long,?,syllable?
1,439,-,space,,,
1,439,mi,long,long,,
1,439,les,short,short,,
1,439,-,space,,,
1,439,aut,UNK,long,?,diphthong?
1,439,-,space,,,
1,439,ter,UNK,short,,
1,439,ras,long,long,,
1,439,-,space,,,
1,439,pro,short,short,,
1,439,cul,UNK,short,,
1,439,-,space,,,
1,440,quan,UNK,short,,
1,440,tum,long,long,,
1,440,-,space,,,
1,440,re,short,short,,
1,440,ce,long,long,,
1,440,dunt,UNK,short,,
1,440,-,space,,,
1,440,ve,long,long,,
1,440,la,short,short,,
1,440,-,space,,,
1,440,fu,short,short,,
1,440,gi,short,short,,
1,440,en,UNK,short,,
1,440,tes,long,long,,
1,440,-,space,,,
1,440,no,short,short,,
1,440,tat,UNK,short,,
1,440,-,space,,,
1,441,aut,UNK,short,?,
1,441,-,space,,,
1,441,bel,long,long,,
1,441,la,short,short,,
1,441,-,space,,,
1,441,nar,long,long,,
1,441,rat,UNK,short,,
1,441,-,space,,,
1,441,hec,long,long,,
1,441,to,short,short,,
1,441,ris,long,long,,
1,441,-,space,,,
1,441,for,UNK,short,,
1,441,tis,long,long,,
1,441,-,space,,,
1,441,mi,short,short,,
1,441,nas,UNK,long,,
1,441,-,space,,,
1,442,cur,UNK,short,,
1,442,rus,long,long,,
1,442,que,elision,elision,,
1,442,-,space,,,
1,442,et,short,short,,
1,442,-,space,,,
1,442,emp,long,long,?,syllable?
1,442,to,UNK,long,,
1,442,-,space,,,
1,442,red,long,long,,
1,442,di,short,short,,
1,442,tum,long,long,,
1,442,-,space,,,
1,442,cor,UNK,short,,
1,442,pus,long,long,,
1,442,-,space,,,
1,442,ro,short,short,,
1,442,go,UNK,long,,
1,442,-,space,,,
1,443,spar,UNK,short,,
1,443,sum,long,long,,
1,443,-,space,,,
1,443,cru,short,short,,
1,443,o,long,long,,
1,443,re,UNK,short,,
1,443,-,space,,,
1,443,re,long,long,,
1,443,gis,short,short,,
1,443,-,space,,,
1,443,her,long,long,,
1,443,ce,UNK,short,?,no wikitionary entry
1,443,um,long,long,,
1,443,-,space,,,
1,443,io,short,short,,
1,443,vem,UNK,short,,
1,443,-,space,,,
1,444,tunc,UNK,short,,
1,444,-,space,,,
1,444,qui,long,long,,
1,444,-,space,,,
1,444,ia,short,short,,
1,444,cen,long,long,,
1,444,te,UNK,short,,
1,444,-,space,,,
1,444,re,short,short,,
1,444,ci,short,short,,
1,444,pro,short,short,,
1,444,cus,long,long,,
1,444,-,space,,,
1,444,lu,UNK,long,,
1,444,dit,long,long,,
1,444,-,space,,,
1,444,sa,short,short,,
1,444,lo,UNK,long,,
1,444,-,space,,,
1,445,tu,short,short,,
1,445,mi,short,short,,
1,445,dum,long,long,,
1,445,que,short,short,,
1,445,-,space,,,
1,445,pan,long,long,,
1,445,do,UNK,long,,
1,445,-,space,,,
1,445,tran,long,long,,
1,445,si,short,short,,
1,445,lit,long,long,,
1,445,-,space,,,
1,445,dor,UNK,short,,
1,445,so,long,long,,
1,445,-,space,,,
1,445,ma,short,short,,
1,445,re,UNK,short,,
1,445,-,space,,,
1,446,tyr,UNK,short,,
1,446,rhe,long,long,,
1,446,nus,short,short,,
1,446,-,space,,,
1,446,om,long,long,,
1,446,ni,UNK,short,,
1,446,-,space,,,
1,446,pis,long,long,,
1,446,cis,short,short,,
1,446,-,space,,,
1,446,ex,long,long,,
1,446,ul,UNK,short,,
1,446,tat,long,long,,
1,446,-,space,,,
1,446,fre,short,short,,
1,446,to,UNK,long,,
1,446,-,space,,,
1,447,a,short,short,,
1,447,gi,short,short,,
1,447,tat,long,long,,
1,447,que,short,short,,
1,447,-,space,,,
1,447,gy,long,long,,
1,447,ros,UNK,long,,
1,447,-,space,,,
1,447,et,long,long,,
1,447,-,space,,,
1,447,co,short,short,,
1,447,mes,long,long,,
1,447,-,space,,,
1,447,la,short,short,,
1,447,te,short,short,,
1,447,ri,elision,elision,,
1,447,-,space,,,
1,447,ad,long,long,,
1,447,na,short,short,,
1,447,tat,UNK,short,,
1,447,-,space,,,
1,448,an,UNK,short,,
1,448,tei,long,long,,
1,448,re,short,short,,
1,448,-,space,,,
1,448,na,long,long,,
1,448,ves,UNK,long,,
1,448,-,space,,,
1,448,lae,UNK,long,,
1,448,tus,short,short,,
1,448,-,space,,,
1,448,et,long,long,,
1,448,-,space,,,
1,448,rur,UNK,long,,
1,448,sus,long,long,,
1,448,-,space,,,
1,448,se,short,short,,
1,448,qui,UNK,long,,
1,448,-,space,,,
1,449,nunc,UNK,short,,
1,449,-,space,,,
1,449,pri,long,long,,
1,449,ma,short,short,,
1,449,-,space,,,
1,449,tan,long,long,,
1,449,gens,UNK,long,,
1,449,-,space,,,
1,449,ros,long,long,,
1,449,tra,short,short,,
1,449,-,space,,,
1,449,las,long,long,,
1,449,ci,UNK,long,,
1,449,vit,long,long,,
1,449,-,space,,,
1,449,cho,short,short,,
1,449,rus,UNK,short,,
1,449,-,space,,,
1,450,mil,UNK,long,,
1,450,le,long,long,,
1,450,si,short,short,,
1,450,mam,long,long,,
1,450,-,space,,,
1,450,nunc,UNK,short,,
1,450,-,space,,,
1,450,am,long,long,,
1,450,bit,short,short,,
1,450,-,space,,,
1,450,et,long,long,,
1,450,-,space,,,
1,450,lus,UNK,long,,
