title,line,syllable,length,comment1,comment2,anceps
1,402,mus,short,,,UNK
1,402,-,space,,,space
1,402,pros,long,,,long
1,402,pe,short,,,short
1,402,rum,long,,,long
1,402,-,space,,,space
1,402,tan,short,,,UNK
1,402,dem,long,,,long
1,402,-,space,,,space
1,402,di,short,,,short
1,402,em,short,,,UNK
1,402,-,space,,,space
1,403,et,short,,,UNK
1,403,-,space,,,space
1,403,si,long,,,long
1,403,-,space,,,space
1,403,pro,short,,,short
1,403,pi,short,,,short
1,403,ti,short,,,short
1,403,os,long,,,UNK
1,403,-,space,,,space
1,403,at,long,,,long
1,403,ta,short,,,short
1,403,men,long,,,long
1,403,-,space,,,space
1,403,len,short,,,UNK
1,403,tos,long,,,long
1,403,-,space,,,space
1,403,de,short,,,short
1,403,os,long,,,UNK
1,403,-,space,,,space
1,404,tu,long,,,UNK
1,404,-,space,,,space
1,404,pan,long,,,long
1,404,de,short,,,short
1,404,-,space,,,space
1,404,vi,long,,,long
1,404,vat,short,,,UNK
1,404,-,space,,,space
1,404,con,long,,,long
1,404,ju,short,,,short
1,404,gis,long,,,long
1,404,-,space,,,space
1,404,fra,long,,,UNK
1,404,ter,long,,,long
1,404,-,space,,,space
1,404,mei,short,,,short
1,404,-,space,,,space
1,405,et,short,,,UNK
1,405,-,space,,,space
1,405,pan,long,,,long
1,405,de,short,,,short
1,405,-,space,,,space
1,405,te,short,,,short
1,405,ne,short,,,short
1,405,at,short,,,UNK
1,405,-,space,,,space
1,405,quas,long,,,long
1,405,-,space,,,space
1,405,so,short,,,short
1,405,ror,long,,,long
1,405,-,space,,,space
1,405,se,long,,,UNK
1,405,des,long,,,long
1,405,-,space,,,space
1,405,me,short,,,short
1,405,a,short,,,UNK
1,405,-,space,,,space
1,406,me,short,,,short
1,406,li,short,,,short
1,406,o,long,,,long
1,406,ra,short,,,short
1,406,-,space,,,space
1,406,vo,long,,,long
1,406,tis,long,,,UNK
1,406,-,space,,,space
1,406,pos,long,,,long
1,406,co,elision,,,elision
1,406,-,space,,,space
1,406,et,short,,,short
1,406,ob,long,,,long
1,406,tes,short,,,UNK
1,406,tor,long,,,long
1,406,-,space,,,space
1,406,de,short,,,short
1,406,os,long,,,UNK
1,406,-,space,,,space
1,407,nam,short,?,always?,UNK
1,407,-,space,,,space
1,407,cer,long,,,long
1,407,ta,short,,,short
1,407,-,space,,,space
1,407,fa,long,,,long
1,407,ri,long,,,UNK
1,407,-,space,,,space
1,407,sors,long,,,long
1,407,-,space,,,space
1,407,ma,short,,,short
1,407,ris,long,,,long
1,407,-,space,,,space
1,407,du,short,,,short
1,407,bi,short,,,short
1,407,i,long,,,long
1,407,ve,short,,,short
1,407,tat,short,,,UNK
1,407,-,space,,,space
1,408,ut,short,?,always?,UNK
1,408,-,space,,,space
1,408,spar,long,,,long
1,408,sa,short,,,short
1,408,-,space,,,space
1,408,tu,short,,,short
1,408,mi,short,,,short
1,408,dum,short,,,UNK
1,408,-,space,,,space
1,408,clas,long,,,long
1,408,sis,short,,,short
1,408,-,space,,,space
1,408,ex,long,,,long
1,408,ce,long,,,UNK
1,408,pit,long,,,long
1,408,-,space,,,space
1,408,ma,short,,,short
1,408,re,short,,,UNK
1,408,-,space,,,space
1,409,quin,long,,,UNK
1,409,-,space,,,space
1,409,ip,long,,,long
1,409,se,elision,,,elision
1,409,-,space,,,space
1,409,a,short,,,short
1,409,tri,long,,,long
1,409,des,long,,,UNK
1,409,-,space,,,space
1,409,ae,long,,,UNK
1,409,quo,short,,,short
1,409,re,elision,,,elision
1,409,-,space,,,space
1,409,im,long,,,long
1,409,men,long,,,UNK
1,409,so,long,,,long
1,409,-,space,,,space
1,409,va,short,,,short
1,409,gus,short,,,UNK
1,409,-,space,,,space
1,410,gra,short,,,short
1,410,vi,short,,,short
1,410,o,long,,,long
1,410,ra,short,,,short
1,410,-,space,,,space
1,410,pe,short,,,short
1,410,la,short,,,short
1,410,go,long,,,UNK
1,410,-,space,,,space
1,410,dam,long,,,long
1,410,na,short,,,short
1,410,-,space,,,space
1,410,quam,long,,,long
1,410,-,space,,,space
1,410,bel,short,,,UNK
1,410,lo,long,,,long
1,410,-,space,,,space
1,410,tu,short,,,short
1,410,lit,short,,,UNK
1,410,-,space,,,space
1,411,re,short,,,short
1,411,me,short,,,short
1,411,at,long,,,long
1,411,que,short,,,short
1,411,-,space,,,space
1,411,vic,long,,,long
1,411,to,long,,,UNK
1,411,-,space,,,space
1,411,si,short,,,short
1,411,mi,short,,,short
1,411,lis,short,,,short
1,411,-,space,,,space
1,411,ex,long,,,long
1,411,i,short,,,short
1,411,gu,short,,,short
1,411,as,long,,,long
1,411,-,space,,,space
1,411,tra,short,,,short
1,411,hens,long,,,UNK
1,411,-,space,,,space
1,412,la,short,,,short
1,412,ce,short,,,short
1,412,ras,long,,,long
1,412,que,short,,,short
1,412,-,space,,,space
1,412,vic,long,,,long
1,412,tor,short,,,UNK
1,412,-,space,,,space
1,412,clas,long,,,long
1,412,se,short,,,short
1,412,-,space,,,space
1,412,de,long,,,long
1,412,-,space,,,space
1,412,tan,short,,,UNK
1,412,ta,long,,,long
1,412,-,space,,,space
1,412,ra,short,,,short
1,412,tes,long,,,UNK
1,412,-,space,,,space
1,413,quis,short,?,long in plural?,UNK
1,413,-,space,,,space
1,413,fa,long,,,long
1,413,re,short,,,short
1,413,-,space,,,space
1,413,nos,long,,,long
1,413,tras,long,,,UNK
1,413,-,space,,,space
1,413,hau,long,,,UNK
1,413,se,short,,,short
1,413,rit,long,,,long
1,413,-,space,,,space
1,413,ca,long,,,UNK
1,413,sus,long,,,long
1,413,-,space,,,space
1,413,ra,short,,,short
1,413,tes,long,,,UNK
1,413,-,space,,,space
1,414,aut,long,,,UNK
1,414,-,space,,,space
1,414,quae,long,,,UNK
1,414,-,space,,,space
1,414,ma,short,,,short
1,414,ris,long,,,long
1,414,-,space,,,space
1,414,for,short,,,UNK
1,414,tu,long,,,long
1,414,na,short,,,short
1,414,-,space,,,space
1,414,dis,long,,,long
1,414,pu,short,,,short
1,414,le,short,,,short
1,414,rit,long,,,long
1,414,-,space,,,space
1,414,du,short,,,short
1,414,ces,long,,,UNK
1,414,-,space,,,space
1,415,a,short,,,UNK
1,415,cer,long,,,long
1,415,ba,short,?,poetic freedom?,short
1,415,-,space,,,space
1,415,fa,long,,,long
1,415,tu,long,,,UNK
1,415,-,space,,,space
1,415,pos,long,,,long
1,415,cis,short,,,short
1,415,-,space,,,space
1,415,in,long,,,long
1,415,faus,long,,,UNK
1,415,tum,long,,,long
1,415,-,space,,,space
1,415,iu,short,,,short
1,415,bes,long,,,UNK
1,415,-,space,,,space
1,416,mens,long,,,UNK
1,416,-,space,,,space
1,416,ae,long,,,UNK
1,416,gra,short,,,short
1,416,-,space,,,space
1,416,tan,long,,,long
1,416,tis,long,,,UNK
1,416,-,space,,,space
1,416,at,long,,,long
1,416,que,elision,,,elision
1,416,-,space,,,space
1,416,in,short,,,short
1,416,hor,long,,,long
1,416,res,long,,,UNK
1,416,cit,long,,,long
1,416,-,space,,,space
1,416,ma,short,,,short
1,416,lis,long,,,UNK
1,416,-,space,,,space
1,417,ex,short,,,UNK
1,417,pro,long,,,long
1,417,me,short,,,short
1,417,-,space,,,space
1,417,cla,long,,,long
1,417,des,long,,,UNK
1,417,-,space,,,space
1,417,sci,long,,,long
1,417,re,short,,,short
1,417,-,space,,,space
1,417,qui,long,,,long
1,417,-,space,,,space
1,417,re,short,,,short
1,417,fu,short,,,short
1,417,git,long,,,long
1,417,-,space,,,space
1,417,su,short,,,short
1,417,as,long,,,UNK
1,417,-,space,,,space
1,418,gra,short,,,UNK
1,418,vat,long,,,long
1,418,-,space,,,space
1,418,ti,short,,,short
1,418,mo,long,,,long
1,418,rem,short,,,UNK
1,418,-,space,,,space
1,418,du,short,,,short
1,418,bi,short,,,short
1,418,a,short,,,short
1,418,-,space,,,space
1,418,plus,long,,,long
1,418,-,space,,,space
1,418,tor,short,,,UNK
1,418,quent,long,,,long
1,418,-,space,,,space
1,418,ma,short,,,short
1,418,la,short,,,UNK
1,418,-,space,,,space
1,419,ut,short,,,UNK
1,419,-,space,,,space
1,419,per,long,,,long
1,419,ga,short,,,short
1,419,mum,elision,,,elision
1,419,-,space,,,space
1,419,om,long,,,long
1,419,ne,short,,,UNK
1,419,-,space,,,space
1,419,do,long,,,long
1,419,ri,short,,,short
1,419,ca,short,,,short
1,419,-,space,,,space
1,419,ce,short,,,short
1,419,ci,short,,,UNK
1,419,dit,long,,,long
1,419,-,space,,,space
1,419,fa,short,,,short
1,419,ce,short,,,UNK
1,419,-,space,,,space
1,420,di,long,,,UNK
1,420,vi,long,,,long
1,420,sa,short,,,short
1,420,-,space,,,space
1,420,prae,long,,,UNK
1,420,da,elision,,,elision
1,420,-,space,,,space
1,420,est,short,,,UNK
1,420,-,space,,,space
1,420,ma,short,,,short
1,420,ri,short,,,short
1,420,a,short,,,short
1,420,-,space,,,space
1,420,pro,short,,,short
1,420,pe,short,,,short
1,420,ran,short,,,UNK
1,420,tes,long,,,long
1,420,-,space,,,space
1,420,pe,short,,,short
1,420,tunt,short,,,UNK
1,420,-,space,,,space
1,421,ne,short,,,UNK
1,421,glec,long,,,long
1,421,ta,short,,,short
1,421,-,space,,,space
1,421,sum,long,,,long
1,421,mas,long,,,UNK
1,421,-,space,,,space
1,421,scu,long,,,long
1,421,ta,short,,,short
1,421,-,space,,,space
1,421,per,long,,,long
1,421,-,space,,,space
1,421,pup,short,,,UNK
1,421,pes,long,,,long
1,421,-,space,,,space
1,421,ia,short,,,short
1,421,cent,short,,,UNK
1,421,-,space,,,space
1,422,ad,short,,,UNK
1,422,-,space,,,space
1,422,mi,long,,,long
1,422,li,short,,,short
1,422,ta,long,,,long
1,422,res,long,,,UNK
1,422,-,space,,,space
1,422,re,long,,,long
1,422,mus,short,,,short
1,422,-,space,,,space
1,422,ap,long,,,long
1,422,ta,long,,,UNK
1,422,tur,long,,,long
1,422,-,space,,,space
1,422,ma,short,,,short
1,422,nus,short,,,UNK
1,422,-,space,,,space
1,423,om,short,,,UNK
1,423,nis,long,,,long
1,423,que,short,,,short
1,423,-,space,,,space
1,423,ni,short,,,short
1,423,mi,short,,,short
1,423,um,short,,,UNK
1,423,-,space,,,space
1,423,lon,long,,,long
1,423,ga,short,,,short
1,423,-,space,,,space
1,423,pro,short,,,short
1,423,pe,short,,,short
1,423,ran,long,,,UNK
1,423,ti,long,,,long
1,423,-,space,,,space
1,423,mo,short,,,short
1,423,ra,elision,,,elision
1,423,-,space,,,space
1,423,est,short,,,UNK
1,423,-,space,,,space
1,424,sig,short,,,UNK
1,424,num,long,,,long
1,424,-,space,,,space
1,424,re,short,,,short
1,424,cur,long,,,long
1,424,sus,short,,,UNK
1,424,-,space,,,space
1,424,re,long,,,long
1,424,gi,short,,,short
1,424,a,elision,,,elision
1,424,-,space,,,space
1,424,ut,long,,,long
1,424,-,space,,,space
1,424,ful,short,,,UNK
1,424,sit,long,,,long
1,424,-,space,,,space
1,424,ra,short,,,short
1,424,te,short,,,UNK
1,424,-,space,,,space
1,425,et,short,,,UNK
1,425,-,space,,,space
1,425,cla,long,,,long
1,425,ra,short,,,short
1,425,-,space,,,space
1,425,lae,long,,,UNK
1,425,tum,short,,,UNK
1,425,-,space,,,space
1,425,re,long,,,long
1,425,mi,short,,,short
1,425,gem,long,,,long
1,425,-,space,,,space
1,425,mo,short,,,short
1,425,nu,short,,,short
1,425,it,long,,,long
1,425,-,space,,,space
1,425,tu,short,,,short
1,425,ba,short,,,UNK
1,425,-,space,,,space
1,426,au,long,,,UNK
1,426,ra,long,,,long
1,426,ta,short,,,short
1,426,-,space,,,space
1,426,pri,long,,,long
1,426,mas,long,,,UNK
1,426,-,space,,,space
1,426,pro,long,,,long
1,426,ra,short,,,short
1,426,-,space,,,space
1,426,de,long,,,long
1,426,sig,short,,,UNK
1,426,nat,long,,,long
1,426,-,space,,,space
1,426,vi,short,,,short
1,426,as,long,,,UNK
1,426,-,space,,,space
1,427,a,short,,,short
1,427,pe,short,,,short
1,427,rit,long,,,long
1,427,que,short,,,short
1,427,-,space,,,space
1,427,cur,long,,,long
1,427,sus,short,?,nom s right?,UNK
1,427,-,space,,,space
1,427,mil,long,,,long
1,427,le,short,,,short
1,427,-,space,,,space
1,427,quos,long,,,long
1,427,-,space,,,space
1,427,pup,short,,,UNK
1,427,pes,long,,,long
1,427,-,space,,,space
1,427,se,short,,,short
1,427,cent,short,,,UNK
1,427,-,space,,,space
1,428,hinc,short,,,UNK
1,428,-,space,,,space
1,428,au,long,,,UNK
1,428,ra,short,,,short
1,428,-,space,,,space
1,428,pri,long,,,long
1,428,mo,long,,,UNK
1,428,-,space,,,space
1,428,le,long,,,long
1,428,nis,short,,,short
1,428,-,space,,,space
1,428,im,long,,,long
1,428,pel,short,,,UNK
1,428,lit,long,,,long
1,428,-,space,,,space
1,428,ra,short,,,short
1,428,tes,long,,,UNK
1,428,-,space,,,space
1,429,ad,short,,,UNK
1,429,lap,long,,,long
1,429,sa,short,,,short
1,429,-,space,,,space
1,429,ve,long,,,long
1,429,lis,long,,,UNK
1,429,-,space,,,space
1,429,un,long,,,long
1,429,da,short,,,short
1,429,-,space,,,space
1,429,vix,long,,,long
1,429,-,space,,,space
1,429,ac,long,,,UNK
1,429,tu,long,,,long
1,429,-,space,,,space
1,429,le,short,,,short
1,429,vi,long,,,UNK
1,429,-,space,,,space
1,430,splen,short,,,UNK
1,430,det,long,,,long
1,430,que,short,,,short
1,430,-,space,,,space
1,430,clas,long,,,long
1,430,se,short,,,UNK
1,430,-,space,,,space
1,430,pe,short,,,short
1,430,la,short,,,short
1,430,gus,short,,,short
1,430,-,space,,,space
1,430,et,long,,,long
1,430,-,space,,,space
1,430,pa,short,,,short
1,430,ri,short,,,short
1,430,ter,long,,,long
1,430,-,space,,,space
1,430,la,short,,,short
1,430,tet,short,,,UNK
1,430,-,space,,,space
1,431,iu,short,,,UNK
1,431,vat,long,,,long
1,431,-,space,,,space
1,431,vi,short,,,short
1,431,de,long,,,long
1,431,re,short,,,UNK
1,431,-,space,,,space
1,431,nu,long,,,long
1,431,da,short,,,short
1,431,-,space,,,space
1,431,tro,long,,,long
1,431,iae,long,,,UNK
1,431,-,space,,,space
1,431,li,long,,,long
1,431,to,short,,,short
1,431,ra,short,,,UNK
1,431,-,space,,,space
1,432,iu,short,,,UNK
1,432,vat,long,,,long
1,432,-,space,,,space
1,432,re,short,,,short
1,432,lic,long,,,long
1,432,ti,long,,,UNK
1,432,-,space,,,space
1,432,so,long,,,long
1,432,la,short,,,short
1,432,-,space,,,space
1,432,si,long,,,long
1,432,gei,long,,,UNK
1,432,-,space,,,space
1,432,lo,short,,,short
1,432,ca,short,,,UNK
1,432,-,space,,,space
1,433,pro,short,,,short
1,433,pe,short,,,short
1,433,rat,long,,,long
1,433,-,space,,,space
1,433,iu,short,,,short
1,433,ven,long,,,long
1,433,tus,short,,,UNK
1,433,-,space,,,space
1,433,om,long,,,long
1,433,nis,short,,,short
1,433,-,space,,,space
1,433,ad,long,,,long
1,433,duc,short,,,UNK
1,433,tos,long,,,long
1,433,-,space,,,space
1,433,si,short,,,short
1,433,mul,short,,,UNK
1,433,-,space,,,space
1,434,len,short,,,UNK
1,434,ta,long,,,long
1,434,re,short,,,short
1,434,-,space,,,space
1,434,re,long,,,long
1,434,mos,long,,,UNK
1,434,-,space,,,space
1,434,ad,long,,,long
1,434,iu,short,,,short
1,434,vat,long,,,long
1,434,-,space,,,space
1,434,ven,short,,,UNK
1,434,tos,long,,,long
1,434,-,space,,,space
1,434,ma,short,,,short
1,434,nu,long,,,UNK
1,434,-,space,,,space
1,435,et,short,,,UNK
1,435,-,space,,,space
1,435,va,short,,,short
1,435,li,short,,,short
1,435,da,short,,,short
1,435,-,space,,,space
1,435,ni,long,,,long
1,435,su,long,,,UNK
1,435,-,space,,,space
1,435,brac,long,?,syllable?,long
1,435,chi,short,,,short
1,435,a,elision,,,elision
1,435,-,space,,,space
1,435,al,long,,,long
1,435,ter,short,,,UNK
1,435,no,long,,,long
1,435,-,space,,,space
1,435,mo,short,,,short
1,435,vet,short,,,UNK
1,435,-,space,,,space
1,436,di,short,,,short
1,436,ri,short,,,short
1,436,munt,long,,,long
1,436,que,short,,,short
1,436,-,space,,,space
1,436,ca,long,,,long
1,436,nae,long,,,UNK
1,436,-,space,,,space
1,436,cae,long,,,UNK
1,436,ru,short,,,short
1,436,lum,long,,,long
1,436,-,space,,,space
1,436,spu,long,,,UNK
1,436,mae,long,,,UNK
1,436,-,space,,,space
1,436,ma,short,,,short
1,436,re,short,,,UNK
1,436,-,space,,,space
1,437,ut,short,,,UNK
1,437,-,space,,,space
1,437,au,long,,,UNK
1,437,ra,short,,,short
1,437,-,space,,,space
1,437,ple,long,,,long
1,437,nos,long,,,UNK
1,437,-,space,,,space
1,437,for,long,,,long
1,437,ti,short,,,short
1,437,or,long,,,long
1,437,-,space,,,space
1,437,ten,short,,,UNK
1,437,dit,long,,,long
1,437,-,space,,,space
1,437,si,short,,,short
1,437,nus,short,,,UNK
1,437,-,space,,,space
1,438,po,short,,,short
1,438,su,short,,,short
1,438,e,long,,,long
1,438,re,short,,,short
1,438,-,space,,,space
1,438,ton,long,,,long
1,438,sas,long,,,UNK
1,438,-,space,,,space
1,438,cre,long,,,long
1,438,di,short,,,short
1,438,ta,elision,,,elision
1,438,-,space,,,space
1,438,est,long,,,long
1,438,-,space,,,space
1,438,ven,short,,,UNK
1,438,to,long,,,long
1,438,-,space,,,space
1,438,ra,short,,,short
1,438,tis,short,?,nom right?,UNK
1,438,-,space,,,space
1,439,fu,long,,,UNK
1,439,sus,long,,,long
1,439,que,short,,,short
1,439,-,space,,,space
1,439,tran,long,,,long
1,439,stris,long,?,syllable?,UNK
1,439,-,space,,,space
1,439,mi,long,,,long
1,439,les,short,,,short
1,439,-,space,,,space
1,439,aut,long,?,diphthong?,UNK
1,439,-,space,,,space
1,439,ter,short,,,UNK
1,439,ras,long,,,long
1,439,-,space,,,space
1,439,pro,short,,,short
1,439,cul,short,,,UNK
1,439,-,space,,,space
1,440,quan,short,,,UNK
1,440,tum,long,,,long
1,440,-,space,,,space
1,440,re,short,,,short
1,440,ce,long,,,long
1,440,dunt,short,,,UNK
1,440,-,space,,,space
1,440,ve,long,,,long
1,440,la,short,,,short
1,440,-,space,,,space
1,440,fu,short,,,short
1,440,gi,short,,,short
1,440,en,short,,,UNK
1,440,tes,long,,,long
1,440,-,space,,,space
1,440,no,short,,,short
1,440,tat,short,,,UNK
1,440,-,space,,,space
1,441,aut,short,?,,UNK
1,441,-,space,,,space
1,441,bel,long,,,long
1,441,la,short,,,short
1,441,-,space,,,space
1,441,nar,long,,,long
1,441,rat,short,,,UNK
1,441,-,space,,,space
1,441,hec,long,,,long
1,441,to,short,,,short
1,441,ris,long,,,long
1,441,-,space,,,space
1,441,for,short,,,UNK
1,441,tis,long,,,long
1,441,-,space,,,space
1,441,mi,short,,,short
1,441,nas,long,,,UNK
1,441,-,space,,,space
1,442,cur,short,,,UNK
1,442,rus,long,,,long
1,442,que,elision,,,elision
1,442,-,space,,,space
1,442,et,short,,,short
1,442,-,space,,,space
1,442,emp,long,?,syllable?,long
1,442,to,long,,,UNK
1,442,-,space,,,space
1,442,red,long,,,long
1,442,di,short,,,short
1,442,tum,long,,,long
1,442,-,space,,,space
1,442,cor,short,,,UNK
1,442,pus,long,,,long
1,442,-,space,,,space
1,442,ro,short,,,short
1,442,go,long,,,UNK
1,442,-,space,,,space
1,443,spar,short,,,UNK
1,443,sum,long,,,long
1,443,-,space,,,space
1,443,cru,short,,,short
1,443,o,long,,,long
1,443,re,short,,,UNK
1,443,-,space,,,space
1,443,re,long,,,long
1,443,gis,short,,,short
1,443,-,space,,,space
1,443,her,long,,,long
1,443,ce,short,?,no wikitionary entry,UNK
1,443,um,long,,,long
1,443,-,space,,,space
1,443,io,short,,,short
1,443,vem,short,,,UNK
1,443,-,space,,,space
1,444,tunc,short,,,UNK
1,444,-,space,,,space
1,444,qui,long,,,long
1,444,-,space,,,space
1,444,ia,short,,,short
1,444,cen,long,,,long
1,444,te,short,,,UNK
1,444,-,space,,,space
1,444,re,short,,,short
1,444,ci,short,,,short
1,444,pro,short,,,short
1,444,cus,long,,,long
1,444,-,space,,,space
1,444,lu,long,,,UNK
1,444,dit,long,,,long
1,444,-,space,,,space
1,444,sa,short,,,short
1,444,lo,long,,,UNK
1,444,-,space,,,space
1,445,tu,short,,,short
1,445,mi,short,,,short
1,445,dum,long,,,long
1,445,que,short,,,short
1,445,-,space,,,space
1,445,pan,long,,,long
1,445,do,long,,,UNK
1,445,-,space,,,space
1,445,tran,long,,,long
1,445,si,short,,,short
1,445,lit,long,,,long
1,445,-,space,,,space
1,445,dor,short,,,UNK
1,445,so,long,,,long
1,445,-,space,,,space
1,445,ma,short,,,short
1,445,re,short,,,UNK
1,445,-,space,,,space
1,446,tyr,short,,,UNK
1,446,rhe,long,,,long
1,446,nus,short,,,short
1,446,-,space,,,space
1,446,om,long,,,long
1,446,ni,short,,,UNK
1,446,-,space,,,space
1,446,pis,long,,,long
1,446,cis,short,,,short
1,446,-,space,,,space
1,446,ex,long,,,long
1,446,ul,short,,,UNK
1,446,tat,long,,,long
1,446,-,space,,,space
1,446,fre,short,,,short
1,446,to,long,,,UNK
1,446,-,space,,,space
1,447,a,short,,,short
1,447,gi,short,,,short
1,447,tat,long,,,long
1,447,que,short,,,short
1,447,-,space,,,space
1,447,gy,long,,,long
1,447,ros,long,,,UNK
1,447,-,space,,,space
1,447,et,long,,,long
1,447,-,space,,,space
1,447,co,short,,,short
1,447,mes,long,,,long
1,447,-,space,,,space
1,447,la,short,,,short
1,447,te,short,,,short
1,447,ri,elision,,,elision
1,447,-,space,,,space
1,447,ad,long,,,long
1,447,na,short,,,short
1,447,tat,short,,,UNK
1,447,-,space,,,space
1,448,an,short,,,UNK
1,448,tei,long,,,long
1,448,re,short,,,short
1,448,-,space,,,space
1,448,na,long,,,long
1,448,ves,long,,,UNK
1,448,-,space,,,space
1,448,lae,long,,,UNK
1,448,tus,short,,,short
1,448,-,space,,,space
1,448,et,long,,,long
1,448,-,space,,,space
1,448,rur,long,,,UNK
1,448,sus,long,,,long
1,448,-,space,,,space
1,448,se,short,,,short
1,448,qui,long,,,UNK
1,448,-,space,,,space
1,449,nunc,short,,,UNK
1,449,-,space,,,space
1,449,pri,long,,,long
1,449,ma,short,,,short
1,449,-,space,,,space
